Chapter	Text_no	Hymn
1	1	Janamejaya said :-- O Vâsaveya! the Chief amongst the Munis, the Ocean of all knowledge, O the Sinless One! the Lord and Well Wisher of our families, I come to you with a mind to ask you certain questions. * Vâsavî is the name of the mother of Vyâsa.
1	2-3	I heard of yore, but I do not know why was that illustrious son of Sûrasena, that powerful Ânakadundubhi (3), the pious and illustrious Vasudeva, the father of S’rî Krisna, the incarnation of the God Hari Himself, and who was worshipped even by the Gods, thrown into prison by Kamsa?Note :-- (3) Ânakadundubhi is the epithet of Vasudeva, father of S’rî Krisna, since at Vasudeva's birth, drums called Ânakas and Dundubhis were resounded in the sky.
1	4-5	What faults had he and his wife Devakî committed? Why that Kamsa the descendant of Yayâti, killed the six infant sons of Devakî? And for what reason did the God S’rî Hari incarnate Himself as the son of Vasudeva in the prison house of Kamsa?
1	6-11	How was that Lord of the Universe, S’rî Bhagavân, and the Ruler of the Yâdava clan, taken to Gokula? Why was He, born of a Ksattriya family, generally recognised as of the Gopâla (cow-herd) clan? Why were His father Vasudeva and mother Devakî thrown into prison? And why did not S’rî Krisna, of indomitable prowess, and capable to create and preserve the worlds, could release instantly, father and mother from their imprisoned state? I cannot conceive that the so-called Fate could have any influence on such high souled persons, the father and mother of the Supreme Being, S’rî Krisna; who were those sons of Vasudeva that were killed by Kamsa? And who was that girl child who when struck by Kamsa on a slab of stone instantly rose up above the sky, assuming the form of Astabhujâ, the eight armed Goddess? O Sinless One! Kindly explain unto me how did S’rî Hari manage to perform the house-holder's duties, when he had married the several wives? and what were those glorious deeds that he did in His this incarnation and how did he finally pass away from his mortal physical coil? My mind sinks into an ocean of confusion, when I hear of the several things done by S’rî Hari; some times I find the deeds, not capable of being done by any other than the Supreme Being Himself and sometimes I hear of deeds that can be done by  an ordinary man. And, therefore I cannot decide whether Vasudeva was the Incarnation of God or an ordinary being. Be pleased to remove these doubts from my mind and describe the life of Vâsudeva in its true light.
1	12-14	In days of yore, the two sons of Dharma were the two best amongst the Risis, and were the Devas Nara and Nârâyana. They were very high souled persons and they performed severe austerities for long extending years. They were born as part incarnations of Visnu; and, for the good of the world, did they, in the Vadarikâ'srama, perform penances, controlling their six passions, and free from desires.
1	15	The all-knowing sages Nârada and others say that the well known Arjuna and S’rî Krisna of indomitable prowess were the two part incarnations of those two ancient Munis Nara and Nârâyana.
1	16	How came those two Devas Nara and Nârâyana to be born in the two bodies of Krisna and Arjuna, though they did not relinquish their previous bodies!
1	17	And also when those two Munis had attained liberation, their goal in their Yogas, by performing severe penances, how could they again be born in other bodies!
1	18-19	If any S'ûdra dies performing his own religion, he takes up a Vais’ya body in his next incarnation; if any Vais'ya died so, he takes up a Ksattriya body and a Ksattriya when adhering to his own rites and ceremonies, dying takes up a Brâhman body in his next incarnation. And if a Brâhmin be free from desires and resorts to the path of peace, when he dies, he becomes free from incarnations and is saved from this disease of getting into the world.
1	20-21	Now the reverse seems to take place in the case of Nara and Nârâyana. In spite of withering up their bodies by hard penances, they took up Ksattriya bodies. Under what influence of Karma, did they take up up birth when they were Yogis? Or might they, the Brâhmins, become Ksattriyas owing to some curse? Whatever it may be, kindly remove my doubts, explaining to me their causes.
1	22	It is heard that the Yâdava clan suffered destruction through the curse of a Brâhman and in spite of S’rî Krisna being the incarnation of the Supreme Being, his family died of the effect of curse from Gândhârî.
1	23	How was it that Pradyumna was stolen away by S'ambara, the lord of the Asuras; and for what purpose when Vasudeva, the Deva of the Devas was present, how was it that his son was stolen away from the lying-in room? This seems impossible.
1	24	Why did not Vasudeva see, with His inner vision, the stealing away of his son from the impregnable walls of His fortress-like mansion in Dwârkâ? (And could thus have prevented this!)
1	25-39	O Muni! After Vâsudeva had gone to Heaven, his wives were plundered by the dacoits on the way. I am very much in doubt on this point. Also I cannot understand why did this event take place just after His translation to Heaven? Again how was S’rî Krisna, who was Visnu's Full incarnation, born into this world to take off the vicious load of this earth, and to destroy the evil-doers, terrified and He fled through the fear of Jarâsandha, evacuated His kingdom of Mathurâ and went with His armies and friends to Dwârkâ? Vâsudeva came here to destroy the evil miscreants and to conserve the religion; how then did He not, as He was all knowing, previously kill those dacoits, who afterward stole and plundered His wives? Was it, that He, being Omniscient did not know those dacoits? He protected the Pândavas, no doubt, who were high souled, righteous and virtuous; but I cannot understand how did He consider the high souled virtuous persons like Bhîsma, Drona and others as loads of earth and slay them. The devotees of S’rî Krisna, observing good customs, conducts and practices, Yudhisthira and his brothers performed the Râjasuya sacrifice, according to rules, giving various offerings to the Brâhmins and depended entirely on Vâsudeva; still, O Muni! they suffered terrible hardships; whither were their virtuous deeds by this time? what horrible sins did they commit that they had to suffer pains and troubles in the assembly. The highly merited Draupadî arose from the midst of sacrificial fire and is born of the part of Laksmî, pure and devoted to S’rî Krisna. How did such a glorious woman meet with incomparable terrible pains often and often; how could she be caught hold of by her hair on her head by Duh'sâsan; and carried to the royal assembly, when she was in her menses and extremely terrified and harassed? How did she come to be a slave of Matsya Râj in his kingdom Virât, and though actually crying aloud like a female osprey (eagle) she was highly insulted by Kîchaka! Alas! how could Draupadî be stolen away by Jayadratha, though latterly released by the Pândavas? What evil deeds did the Pândavas commit in their previous births, that they had to befall under so many telling difficulties?
1	40	O high minded Muni! My ancestors performed the Râjasûya sacrifice and still they fell under so many serious difficulties. Kindly explain the causes of these to me.
1	41-42	If it be urged, that they suffered so many serious calamities, due to their actions in their former lives, that seems impossible. Because they are born of the Devas; thus arises my doubt; be pleased to explain to me.Again how the Pândavas, the sons of Kunti, of good conduct, and knowing the illusory nature of the world, why did they, out of pretence kill Bhîsma, Drona and others?
1	43	This appears a riddle to me that these Pândavas were led to the extermination of their race, being inspired by Hari Vâsudeva, to this horrible act.
1	44	Rather to live on begging alms and to live on rice, growing wild or without cultivation, or to live as an artisan or artist than to kill the valiant warriors unlawfully in a battle, simply out of voluptuous greed.
1	45	O Best of the Munis! You have preserved this extirpated race by producing the Goloka sons (i. e. sons born by other persons of women after their husbands are dead) of indomitable prowess.
