Adhyaya_no	Kandika_no	Text_no	Hymn
1	1	1	. The (rites) based on the spreading (of the three sacred fires) have been declared; we shall declare the Grihya (rites).
1	1	2	. There are three (kinds of) Pâkayagñas, the hutas, (i.e. the sacrifices) offered over the fire; over something that is not the fire, the prahutas; and at the feeding of Brâhmanas, those offered in the Brahman.
1	1	3	. And they quote also Rikas, 'He who with a piece of wood or with an oblation, or with knowledge ("veda").'
1	1	4	. Even he who only puts a piece of wood (on the fire) full of belief, should think, 'Here I offer a sacrifice; adoration to that (deity)!'(The Rik quoted above then says), 'He who with an oblation'—and, 'He who with knowledge;' even by learning only satisfaction is produced (in the gods).Seeing this the Rishi has said, 'To him who does not keep away from himself the cows, to him who longs for cows, who dwells in the sky, speak a wonderful word, sweeter than ghee and honey.' Thereby he means, 'This my word, sweeter than ghee and honey, is satisfaction (to the god); may it be sweeter.'(And another Rishi says), 'To thee, O Agni, by this Rik we offer an oblation prepared by our heart; may these be oxen, bulls, and cows.' (Thereby he means), 'They are my oxen, bulls, and cows (which I offer to the god), they who study this text, reciting it for themselves (as their Svâdhyâya).'(And further on the Rik quoted above says), 'He who (worships Agni) with adoration, offering rich sacrifices.' 'Verily also by the performing of adoration (the gods may be worshipped); for the gods are not beyond the performing of adoration; adoration verily is sacrifice'—thus runs a Brâhmana.
1	2	1	. Now he should make oblations in the evening and in the morning of prepared sacrificial food,
1	2	2	. To the deities of the Agnihotra, to Soma Vanaspati, to Agni and Soma, to Indra and Agni, to Heaven and Earth, to Dhanvantari, to Indra, to the Visve devâs, to Brahman.
1	2	3	. He says Svâhâ, and then he offers the Balis—
1	2	4	To those same deities, to the waters, to the herbs and trees, to the house, to the domestic deities, to the deities of the ground (on which the house stands),
1	2	5	. To Indra and Indra's men, to Yama and Yama's men, to Varuna and Varuna's men, to Soma and Soma's men—these (oblations he makes) to the different quarters (of the horizon, of which those are the presiding deities).
1	2	6	To Brahman and Brahman's men in the middle,
1	2	7	To the Visve devâs, to all day-walking beings—thus by day;
1	2	8	To the night-walking (beings)—thus at night.
1	2	9	To the Rakshas—thus to the north.
1	2	10	Svadhâ to the fathers (i.e. Manes)'—with these words he should pour out the remnants to the south, with the sacrificial cord suspended over the right shoulder.
1	3	1	. Now wherever he intends to perform a sacrifice, let him besmear (with cowdung) a surface of the dimension at least of an arrow on each side; let him draw six lines thereon, one turned to the north, to the west (of the spot on which the fire is to be placed); two (lines) turned to the east, at the two different ends (of the line mentioned first); three (lines) in the middle (of those two); let him sprinkle that (place with water), establish the (sacred) fire (thereon), put (two or three pieces of fuel) on it, wipe (the ground) round (the fire), strew (grass) round (it), to the east, to the south, to the west, to the north, ending (each time) in the north. Then (follows) silently the sprinkling (of water) round (the fire).
1	3	2	With two (Kusa blades used as) strainers the purifying of the Âgya (is done).
1	3	3	. Having taken two Kusa blades with unbroken tops, which do not bear a young shoot in them, of the measure of a span, at their two ends with histhumbs and fourth fingers, with his hands turned with the inside upwards, he purifies (the Âgya, from the west) to the east, with (the words), 'By the impulse of Savitri I purify thee with this uninjured purifier, with the rays of the good sun'—once with this formula, twice silently.
1	3	4	. The strewing (of grass) round (the fire) may be done or not done in the Âgya offerings.
1	3	5	. So also the two Âgya portions (may optionally be sacrificed) in the Pâkayagñas.
1	3	6	. And the (assistance of a) Brahman (is optional), except at the sacrifice to Dhanvantari and at the sacrifice of the spit-ox (offered to Rudra).
1	3	7	. Let him sacrifice with (the words), 'To such and such a deity svâhâ!'
1	3	8	If there is no rule (as to the deities to whom the sacrifice belongs, they are) Agni, Indra, Pragâpati, the Visve devâs, Brahman.
1	3	9	. (Different Pâkayagñas, when) offered at the same time, should have the same Barhis (sacrificial grass), the same fuel, the same Âgya, and the same (oblation to Agni) Svishtakrit.
1	3	10	With reference thereto the following sacrificial stanza is sung:'He who has to perform (different) Pâkayagñas, should offer them with the same Âgya, the same[paragraph continues] Barhis, and the same Svishtakrit, even if the deity (of those sacrifices) is not the same.'
1	4	1	. During the northern course of the sun, in the time of the increasing moon, under an auspicious Nakshatra the tonsure (of the child's head), the initiation (of a Brahmakârin), the cutting of the beard, and marriage (should be celebrated).
1	4	2	According to some (teachers), marriage (may be celebrated) at any time.
1	4	3	Before those (ceremonies) let him sacrifice four Âgya oblations—
1	4	4	With the three (verses), 'Agni, thou purifiest life' , and with (the one verse), 'Pragâpati, no other one than thou' .
1	4	5	. Or with the Vyâhritis.
1	4	6	. According to some (teachers), the one and the other.
1	4	7	. No such(oblations), according to some (teachers).
1	4	8	At the marriage the fourth oblation with the verse, 'Thou (O Agni) art Aryaman towards the girls' .
1	5	1	. Let him first examine the family (of the intended bride or bridegroom), as it has been said above,[paragraph continues] 'Those who on the mother's and on the father's side.'
1	5	2	Let him give the girl to a (young man) endowed with intelligence.
1	5	3	Let him marry a girl that shows the characteristics of intelligence, beauty, and moral conduct, and who is free from disease.
1	5	4	. As the characteristics (mentioned in the preceding Sûtra) are difficult to discern, let him make eight lumps (of earth), recite over the lumps the following formula, 'Right has been born first, in the beginning; on the right truth is founded. For what (destiny) this girl is born, that may she attain here. What is true may that be seen,' and let him say to the girl, 'Take one of these.'
1	5	5	. If she chooses the (lump of earth taken) from a field that yields two crops (in one year), he may know, 'Her offspring will be rich in food.' If from a cow-stable, rich in cattle. If from the earth of a Vedi (altar), rich in holy lustre. If from a pool which does not dry up, rich in everything. If from a gambling-place, addicted to gambling. If from a place where four roads meet, wandering to different directions. If from a barren spot, poor. If from a burial-ground, (she will) bring death to her husband.
1	6	1	. (The father) may give away the girl, having decked her with ornaments, pouring out a libation of water: this is the wedding (called) Brâhma. A son born by her (after a wedding of this kind) brings purification to twelve descendants and to twelve ancestors on both (the husband's and the wife's) sides.
1	6	2	. He may give her, having decked her with ornaments, to an officiating priest, whilst a sacrifice with the three (Srauta) fires is going on: this (is the wedding called) Daiva. (A son) brings purification to ten descendants and to ten ancestors on both sides.
1	6	3	. They fulfil the law together: this (is the wedding called) Prâgâpatya. (A son) brings purification to eight descendants and to eight ancestors on both sides.
