Adhyaya_no	Khanda_no	Text_no	Hymn
1	1	1	. Now henceforth we shall declare the Pâkayagñas.
1	1	2	. When (a pupil) is going to return (from his teacher), let him keep that fire (as his domestic fire) on which he has put the last piece of wood (as required by the regulations for a student),
1	1	3	Or (he should keep) his nuptial fire.
1	1	4	Some declare (that the domestic fire should be kindled) at the time of the division of the inheritance.
1	1	5	. Or that after the death of the householder the eldest one himself (should kindle it).
1	1	6	(It should be kindled) on the day of the new moon of the month of Vaisâkha or on another (new moon day).
1	1	7	Some say (that the fire should be kindled) according to the (sacrificer's) wishes under the (corresponding) constellation.
1	1	8	. He should light his fire at one of the following places, viz. in the house of a Vaisya who is rich incattle, at a frying-pan, or (at the fire of) one who offers many sacrifices.
1	1	9	. Some say that (the fire should be fetched from one of the above-mentioned places) in the evening and in the morning.
1	1	10	The inauguration (of the fire) by an evening offering should be learnt from the Adhvaryus, according to (my) teacher.
1	1	11	In the morning he shall offer a full oblation with a verse sacred to Vishnu, or silently.
1	1	12	. The time for setting it (i.e. the domestic fire) in a blaze and for sacrificing on it has been explained by (the rules given with regard to) the Agnihotra.
1	1	13	. And 'invested with the sacrificial cord,' &c., all these rules, as far as they are applicable, should be applied (here also) in consequence of the unity of the ritual.
1	1	14	With regard to this they quote also (the following Sloka):
1	1	15	. 'The kinds of Pâkayagñas, the kinds of Haviryagñas, and again the kinds of Soma sacrifices,'Twenty-one by number, these are proclaimed to be the kinds of sacrifice.'
1	2	1	At the end of the sacrificial acts (follows) the distribution of food to Brâhmanas.
1	2	2	Voice, (pleasantness of) form, age, learning, moral character, (right) conduct are the qualities (required in the Brâhmanas who are to be invited thereto).
1	2	3	Learning, however, outweighs every (other qualification).
1	2	4	A learned one should not be passed over.
1	2	5	'The threefold (knowledge, viz. that) which refers to the deities, that which refers to the Âtman, and that which refers to sacrifice,'(Handed down) in the Mantras and in the Brâhmana: this is called learning.
1	2	6	'A performer of the sacred rights, a man who has studied (the Veda), who is old in learning and devoted to austerities:'He who gives food (even) once to such (a Brâhmana), hunger will not befall that man any more.
1	2	7	'Whatsoever deity he may wish to satiate at any sacrifice,'Destining it to that (deity) in his mind, he shall give (the food) to a person like that.
1	2	8	'An oblation deposited in a person like that will never miss its way to the deity;'Treasure of men, vessel of gods (in which they receive what is given to them) he is called.'
1	3	1	. Now (follow) the ceremonies of the days of the new and full moon.He fasts.
1	3	2	. In the morning, when the sun shines on thetop of the great trees, that is the most auspicious time for all kinds of sacrifices, unless there be a special rule.
1	3	3	. With a genial mind, clean, on a pure, protected spot, having cooked a full, thin mess of rice, he offers that cooked oblation to the deities of the festivals of the new and full moon, distributing it in the due way.
1	3	4	. In the oblations of cooked food the acts of taking (the intended oblation), of putting it down (near the fire), and of sprinkling it (with water) are performed with regard to the deities of the (respective) Mantras.
1	3	5	. And the rules about the portions to be cut off (from the sacrificial food, are valid).
1	3	6	. But before the sacrifices of the new and full moon one should make offerings to the deities of the Anvârambhanîya ceremony.
1	3	7	. The time for the new moon sacrifice is not elapsed until the full moon, nor that for the full moon sacrifice until the new moon.
1	3	8	. And some say that the morning oblation may be made at the time of the evening oblation, in the case of danger.
1	3	9	But the time is fixed, as at the Agnihotra an expiation has been prescribed for him who has neglected the time.
1	3	10	At the two daily oblations one should use as sacrificial food either rice or barley or grains.
1	3	11	In case these are not at hand, other (sorts of sacrificial food are) not prohibited.
1	3	12	Some say that if he uses grains, he should wash them.
1	3	13	With the other (kinds of food) no such preparation takes place.
1	3	14	. In the evening (he makes the oblation) to Agni, in the morning to Sûrya,
1	3	15	And after both silently to Pragâpati.
1	3	16	Some (say that) before the first oblation a piece of wood (is to be put on the fire).
1	3	17	. The sprinkling with water as indicated (in the Srauta-sûtra).
1	4	1	. When he has risen in the morning and has sipped water, let him daily repeat his recital.
1	4	2	(This consists of, or is accompanied by, the following texts:) the two verses, 'To-day, god Savitar' ; the hymn, 'Go away, Manasaspati' ; the hymn, 'Right and truth' ; the verses, 'Look down, ye Âdityas,' to the end of the hymn ;the verse, 'O Indra, the best treasures' ; the verse, 'The swan dwelling in purity' ; the verse, 'Adoration to the great ones' ; the verse, 'What we fear, Indra' ; the verse, 'And of the sleep' ; the verse, 'He who says to me, O king' ; the hymn, 'Let glory be mine, Agni' ; and the five verses,' Bliss may create for us' .
1	5	1	. There are four kinds of Pâkayagñas, viz. the HUTA, the AHUTA, the PRAHUTA, and the PRÂSITA.
1	5	2	. On the following five occasions, viz. the wedding, the tonsure (of the child's head), the initiation (of the Brahmakârin), the cutting of the beard, and the parting of the hair, (on these occasions) in the outer hall—
1	5	3	. To a place that has been smeared (with cow-dung), which is elevated, and which has been sprinkled (with water), he carries forward the fire,
1	5	4	Having kindled it by rubbing, according to some teachers, at his marriage.
1	5	5	During the northern course of the sun, in thetime of the increasing moon, on an auspicious day he shall seize the hand of a girl,
1	5	6	Who should possess (the auspicious) characteristics (required),
1	5	7	Whose limbs should be proportionate,
1	5	8	Whose hair should be smooth,
1	5	9	. Who should also have at her neck two curls turned to the right.
1	5	10	(Of such a girl) he shall know that she will give birth to six men.
1	6	1	. If he will acquire a wife, let him recite over the wooers (whom he sends to the girl's father) when they go away, the verse, 'Thornless' .
1	6	2	When they arrive, they take flowers, fruits, barley, and a pot of water.
1	6	3	. They say thrice, 'Here I am, sir!'
1	6	4	When these words have been uttered, they ask the girl in marriage, reciting the clan names, the dwellers turning their faces to the east, the visitors to the west.
1	6	5	When the matter pleases both sides, let them touch a full vessel into which have been put flowers,fried grain, fruits, barley, and gold, and let them recite (the formula), 'Undisturbed art thou, the undisturbable vigour of the gods, not cursed, protecting against a curse, unexposed to a curse. Might I straightway attain to truth. Put me into prosperity.'
1	6	6	. With the verse, 'Offspring may produce us' , the Âkârya of the girl's (family), standing up, places (the vessel) on her head (saying), 'Offspring I put into thee, cattle I put into thee, splendour and holy lustre I put into thee.'
1	7	1	. When assent has been declared (by the girl's father, the bridegroom) sacrifices.
1	7	2	He besmears a quadrangular space with cow-dung.
1	7	3	. (Let him consider in the ceremonies to be performed,) of the two eastern intermediate directions, the southern one as that to which (the rites) should be directed, if the rites belong to the Manes,
  of the two eastern intermediate directions, sacred to Îsâna, should be considered as that to which the ceremonies sacred to the gods, such as oblations, &c., are to be directed.'—
1	7	4	The northern one, if the rites belong to the gods,
1	7	5	Or rather the east (itself) according to some (teachers).
1	7	6	. He draws in the middle (of the sacrificial ground) a line from south to north,
1	7	7	Upwards from this, turned upwards, to the south one line, in the middle one, to the north one.
1	7	8	These he sprinkles (with water),
1	7	9	. Carries forward the fire with the verse, 'I carry forward Agni with genial mind; may he be the assembler of goods. Do no harm to us, to the old nor to the young; be a saviour to us, to men and animals,'
1	7	10	Or (he carries it forward) silently,
1	7	11	Then he wipes with his wet hand three times around the fire, turning his right side to it. This they call SAMÛHANA (sweeping together).
1	7	12	Once, turning his left side to it, in the rites belonging to the Manes.
1	8	1	. Now (follows) the strewing (of grass) around (the fire).
1	8	2	He strews eastward-pointed Kusa grass around it, in three layers or in five layers,
1	8	3	Beginning on the east side, then to the west, then to the west.
1	8	4	He covers the roots (of the grass-blades) with the points.
1	8	5	And all kinds of rites are to be performed beginning south, ending north.
1	8	6	. He places the Brahman south with the words, BHÛR BHUVAH SVAH,
1	8	7	Adorns him with flowers,
1	8	8	. Carries forward on the north side the Pranîtâ waters with the words, 'Who carries ye forward?'—
1	8	9	. Takes up with the left hand the Kusa blades, and arranges them (on the ground) with the right hand,
