Prapathaka	Kandika_no	Text_no	Hymn
1	1	1	Now henceforth we shall explain the domestic sacrifices.
1	1	2	He should perform (the ceremonies) wearing the sacrificial cord on his left shoulder and having sipped water.
1	1	3	During the northern course of the sun, at the time of the increasing moon, on an auspicious day, before noon: this he should know as the (proper) time (for performing the ceremonies).
1	1	4	And as the prescription (is stated with regard to the time of the single ceremonies).
1	1	5	All (ceremonies) are accompanied by the Anvâhârya (Srâddha).
1	1	6	At the end (of each ceremony) he should feed worthy (Brâhmanas) according to his ability.
1	1	7	A student, after he has studied the Veda, when going to put the last piece of wood (on the fire),—
1	1	8	Or to seize a wife's hand (i.e. to marry her),—
1	1	9	Should fetch water from a hidden place, should sweep a place which is inclined towards north-east, or which is level, and should besmear it (with cow-dung). Beginning from the centre of it he should draw a line from west to east, (another line) from south to north which touches that line at its western end, and three lines from west to east (touching the northwards-turned line at three different points) in its midst (i.e. at neither of its ends). He then should besprinkle (those lines with water).
1	1	10	In this way the Lakshana (i.e. the preparation of the place for the sacred fire) is performed everywhere.
1	1	11	With the words 'Bhûr, bhuvah, svah,' they carry the fire forward (to that place) so that they have it in front of them.
1	1	12	Or after the householder has died, the chief[paragraph continues] (of the family) should do it (i.e. he should set up the sacred fire).
1	1	13	In this way, on the coincidence of an (auspicious) Tithi and an (auspicious) Nakshatra, (or of such a Nakshatra) and a Parvan—
1	1	14	On the full-moon day or on the new-moon day: then he should celebrate the setting up of his (sacred domestic) fire.
1	1	15	He should get fire from a Vaisya's house or from a frying-pan, and should set it up (as his sacred fire);
1	1	16	Or (he should fetch it) from the house of one who offers many sacrifices, be it a Brâhmana, or a Râganya, or a Vaisya.
1	1	17	Or he may kindle another fire by attrition and may set it up.
1	1	18	That is pure, but it does not bring prosperity.
1	1	19	He may do what he likes  the last piece of wood (on the fire), or when he sacrifices when going to seize the hand of a wife, that fire he should keep.
1	1	21	That becomes his (sacred) domestic fire.
1	1	22	Thereby his morning oblation has been offered.
1	1	23	Beginning from that time the sacrificing (of regular morning and evening oblations) in the domestic fire is prescribed, so that he begins with an evening oblation.
1	1	24	Before the time has come for setting the fire in a blaze, he should fetch in the evening and in the morning from a hidden place the water with which the different acts (such as sipping water) are performed.
1	1	25	Or (he should fetch water only) in the evening.
1	1	26	Or he should draw it out of a water-pot or of a barrel.
1	1	27	Before sunset he should set the fire in a blaze, and sacrifice the evening oblation after sunset.
1	1	28	In the morning he should set the fire in a blaze before sunrise, and should sacrifice the morning oblation before sunrise or after it.
1	2	1	He takes as his yagñopavîta (i.e. sacrificial cord) a string, or a garment, or simply a rope of Kusa grass.
1	2	2	Raising his right arm, putting the head into (the upavîta), he suspends (the cord) over his left shoulder, so that it hangs down on his right side: thus he becomes yagñopavîtin.
1	2	3	Raising his left arm, putting the head into (the upavîta), he suspends it over his right shoulder, so that it hangs down on his left side: thus he becomes prâkînâvîtin.
1	2	4	Prâkînâvîtin, however, he is only at sacrifices offered to the Manes.
1	2	5	Having gone in a northern direction from the fire, having washed his hands and feet, and having seated himself, he should sip water three times and wipe off (the water) twice.
1	2	6	Having besprinkled his feet (with water) let him besprinkle his head.
1	2	7	Let him touch the organs of his senses with water:
1	2	8	The two eyes, the nose, the two ears.
1	2	9	Whatever (limb of his body) requires his consideration (whether it is pure or not), that he should touch with water (i.e. with a wet hand).
1	2	10	Here they say:
1	2	11	Let him not touch (himself with water, or sip water) while walking,
1	2	12	Nor standing,
1	2	13	Nor laughing,
1	2	14	Nor looking about,
1	2	15	Nor without bending down,
1	2	16	Nor (throwing up the water) with his fingers,
1	2	17	Nor except with the (proper) Tîrtha,
1	2	18	Nor uttering a sound,
1	2	19	Nor without looking (at the water),
1	2	20	Nor with his shoulders put back,
1	2	21	Nor wearing a part of his under garment as if it were an upper garment,
1	2	22	Nor with warm water,
1	2	23	Nor with foamy water,
1	2	24	And in no case wearing sandals,
1	2	25	(Not) with a turban on his head (?),
1	2	26	(Not with his garment) tied round his neck,
1	2	27	And not stretching out his feet.
1	2	28	When he has finally touched (water) again, he becomes pure.
1	2	29	Let him, however, sip only water that reaches his heart.
1	2	30	For if he does otherwise, he remains impure.
1	2	31	Now the cases in which he has to touch (water) a second time.
1	2	32	Having slept, or eaten, or sneezed, or taken a bath, or drunk something, or changed (his garments), or walked on the high road, or gone to a cemetery, he should sip water and then sip water again.
1	3	1	Having put wood on the (sacred) fire, having swept"(the ground) round it, he should, bending his right knee, pour out to the south of the fire his joined hands full of water with (the words), 'Aditi! Give thy consent!'
1	3	2	To the west with (the words), 'Anumati! Give thy consent!'
1	3	3	To the north with (the words), 'Sarasvatî! Give thy consent!'
1	3	4	With (the words), 'God Savitri! Give thy impulse!'  he should sprinkle (water) round the fire once or thrice so as to keep his right side turned towards it—
1	3	5	Interchanging the points at which he begins and ends the (sprinkling of water), and sprinkling so as to encompass what he is going to offer (with the streams of water).
1	3	6	Let him then make oblations of the sacrificial food, be it prepared or raw, over the fire.
1	3	7	If it is raw, he should sacrifice after having washed it and having let the water drop off.
1	3	8	If it consists in curds or milk or rice gruel, (he should sacrifice it) with a brazen bowl, or with the pot in which the oblations of boiled rice are prepared, or also with the (sacrificial spoon called) Sruva;
1	3	9	In the evening the first (oblation) with (the formula), 'To Agni Svâhâ!' the second silently, in the middle and in the north-eastern part (of the fire);
