Pransa_no	PATALA_no	Section_no	Text_no	Hymn
1	1	1	1	We shall explain the Upanayana (i.e. the initiation of the student).
1	1	1	2	Let him initiate a Brâhmana at the age of seven years,
1	1	1	3	A Râganya, of eleven, a Vaisya, of twelve.
1	1	1	4	A Brâhmana in the spring, a Râganya in the summer, a Vaisya in the autumn.
1	1	1	5	In the time of the increasing moon, under an auspicious constellation, preferably (under a constellation) the name of which is masculine,
1	1	1	6	He should serve food to an even number of Brâhmanas and should cause them to say, 'An auspicious day! Hail! Good luck!'—
1	1	1	7	(Then he) should have the boy satiated, shouldhave his hair shaven, and after (the boy) has bathed and has been decked with ornaments—
1	1	1	8	He should dress him in a (new) garment which has not yet been washed.
1	1	1	9	In a place inclined towards the east, (or) inclined towards the north, (or) inclined towards northeast, or in an even (place), he raises (the surface on which he intends to sacrifice), sprinkles it with water,
1	1	1	10	Kindles fire by attrition, or fetches common (worldly) fire, puts the fire down, and puts wood on the fire.
1	1	1	11	He strews eastward-pointed Darbha grass round the fire;
1	1	1	12	Or (the grass which is strewn) to the west and to the east (of the fire), may be northward-pointed.
1	1	1	13	He (arranges the Darbha blades so as to) lay the southern (blades) uppermost, the northern ones below, if their points are turned (partly) towards the east and (partly) towards the north.
1	1	1	14	Having strewn Darbha grass, to the south of the fire, in the place destined for the Brahman,
1	1	1	15	Having with the two (verses), 'I take (the fire) to myself,' and, 'The fire which (has entered)'—taken possession of the fire,
1	1	1	16	And having, to the north of the fire, spread out Darbha grass, he prepares the (following) objects,according as they are required (for the ceremony which he is going to perform):
1	1	1	17	A stone, a (new) garment which has not yet been washed, a skin (of an antelope, or a spotted deer, &c.), a threefold-twisted girdle of Muñga grass if he is a Brâhmana (who shall be initiated), a bowstring for a Râganya, a woollen thread for a Vaisya, a staff of Bilva or of Palâsa wood for a Brâhmana, of Nyagrodha wood for a Râganya, of Udumbara wood for a Vaisya.
1	1	1	18	He binds together the fuel, twenty-one pieces of wood, or as many as there are oblations to be made.
1	1	1	19	Together with that fuel he ties up the (three) branches of wood which are to be laid round the fire, (which should have the shape of) pegs.
1	1	1	20	(He gets ready, besides, the spoon called) Darvî, a bunch of grass, the Âgya pot, the pot for the Pranîta water, and whatever (else) is required;
1	1	1	21	All (those objects) together, or (one after the other) as it happens.
1	1	1	22	At that time the Brahman suspends the sacrificial cord over his left shoulder, sips water, passes by the fire, on its west side, to the south side, throws away a grass blade from the Brahman's seat, touches water, and sits down with his face turned towards the fire.
1	1	1	23	He takes as 'purifiers' two straight Darbha blades with unbroken points of one span's length, cuts them off with something else than his nail, wipes them with water, pours water into a vessel over which he has laid the purifiers, fills (that vessel) up to near the brim, purifies (the water) three times with the two Darbha strainers, holding their points to the north, places (the water) on Darbha grass on the north side of the fire, and covers it with Darbha grass.
1	1	1	24	Having consecrated the Prokshanî water by means of the purifiers as before, having placed the vessels upright, and having untied the fuel, he sprinkles (the sacrificial vessels) three times with the whole (Prokshanî water).
1	1	1	25	Having warmed the Darvî spoon (over the fire), having wiped it, and warmed it again, he puts it down.
1	1	1	26	Having besprinkled (with water) the Darbha grass with which the fuel was tied together, he throws it into the fire.
1	1	1	27	He melts the Âgya, pours the Âgya into the Âgya pot over which he has laid the purifiers, takes some coals (from the fire) towards the north, puts (the Âgya) on these (coals), throws light (on the[paragraph continues] Âgya by means of burning Darbha blades), throws two young Darbha shoots into it, moves a fire-brand round it three times, takes it (from the coals) towards the north, pushes the coals back (into the fire), purifies the Âgya three times with the two purifiers, holding their points towards the north, (drawing them through the Âgya from west to east and) taking them back (to the west each time), throws the two purifiers into the fire,
1	1	2	1	And lays the (three) pegs round (the fire).
1	1	2	2	On the west side (of the fire) he places the middle (peg), with its broad end to the north,
1	1	2	3	On the south side (of the fire the second peg), so that it touches the middle one, with its broad end to the east,
1	1	2	4	On the north side (of the fire the third peg), so that it touches the middle one, with its broad end to the east.
1	1	2	5	To the west of the fire (the teacher who is going to initiate the student), sits down with his face turned towards the east.
1	1	2	6	To the south (of the teacher) the boy, wearing the sacrificial cord over his left shoulder, having sipped water, sits down and touches (the teacher).
1	1	2	7	Then (the teacher) sprinkles water round the fire (in the following way):
