Sanskit Text	Sanskrit Transliteration	Translation
अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम |	aghnimīḷe purohitaṃ yajñasya devaṃ ṛtvījam |	1 I Laud Agni, the chosen Priest, God, minister of sacrifice,
होतारं रत्नधातमम ||	hotāraṃ ratnadhātamam ||	The hotar, lavishest of wealth.
अग्निः पूर्वेभिर्र्षिभिरीड्यो नूतनैरुत |	aghniḥ pūrvebhirṛṣibhirīḍyo nūtanairuta |	2 Worthy is Agni to be praised by living as by ancient seers.
स देवानेह वक्षति ||	sa devāneha vakṣati ||	He shall bring hitherward the Gods.
अग्निना रयिमश्नवत पोषमेव दिवे-दिवे |	aghninā rayimaśnavat poṣameva dive-dive |	3 Through Agni man obtaineth wealth, yea, plenty waxing day by day,
यशसं वीरवत्तमम ||	yaśasaṃ vīravattamam ||	Most rich in heroes, glorious.
अग्ने यं यज्ञमध्वरं विश्वतः परिभूरसि |	aghne yaṃ yajñamadhvaraṃ viśvataḥ paribhūrasi |	4 Agni, the perfect sacrifice which thou encompassest about
स इद्देवेषु गछति ||	sa iddeveṣu ghachati ||	Verily goeth to the Gods.
अग्निर्होता कविक्रतुः सत्यश्चित्रश्रवस्तमः |	aghnirhotā kavikratuḥ satyaścitraśravastamaḥ |	5 May Agni, sapient-minded Priest, truthful, most gloriously great,
देवो देवेभिरा गमत ||	devo devebhirā ghamat ||	The God, come hither with the Gods.
यदङग दाशुषे तवमग्ने भद्रं करिष्यसि |	yadaṅgha dāśuṣe tvamaghne bhadraṃ kariṣyasi |	6 Whatever blessing, Agni, thou wilt grant unto thy worshipper,
तवेत तत सत्यमङगिरः ||	tavet tat satyamaṅghiraḥ ||	That, Aṅgiras, is indeed thy truth.
उप तवाग्ने दिवे-दिवे दोषावस्तर्धिया वयम |	upa tvāghne dive-dive doṣāvastardhiyā vayam |	7 To thee, dispeller of the night, O Agni, day by day with prayer
नमो भरन्त एमसि ||	namo bharanta emasi ||	Bringing thee reverence, we come
राजन्तमध्वराणां गोपां रतस्य दीदिविम |	rājantamadhvarāṇāṃ ghopāṃ ṛtasya dīdivim |	8 Ruler of sacrifices, guard of Law eternal, radiant One,
वर्धमानंस्वे दमे ||	vardhamānaṃsve dame ||	Increasing in thine own abode.
स नः पितेव सूनवे.अग्ने सूपायनो भव |	sa naḥ piteva sūnave.aghne sūpāyano bhava |	9 Be to us easy of approach, even as a father to his son:
सचस्वा नः सवस्तये ||	sacasvā naḥ svastaye ||	Agni, be with us for our weal.

वायवा याहि दर्शतेमे सोमा अरंक्र्ताः |	vāyavā yāhi darśateme somā araṃkṛtāḥ |	1 BEAUTIFUL Vāyu, come, for thee these Soma drops have been prepared:
तेषां पाहि शरुधी हवम ||	teṣāṃ pāhi śrudhī havam ||	Drink of them, hearken to our call.
वाय उक्थेभिर्जरन्ते तवामछा जरितारः |	vāya ukthebhirjarante tvāmachā jaritāraḥ |	2 Knowing the days, with Soma juice poured forth, the singers glorify
सुतसोमा अहर्विदः ||	sutasomā aharvidaḥ ||	Thee, Vāyu, with their hymns of praise.
वायो तव परप्र्ञ्चती धेना जिगाति दाशुषे |	vāyo tava prapṛñcatī dhenā jighāti dāśuṣe |	3 Vāyu, thy penetrating stream goes forth unto the worshipper,
उरूची सोमपीतये ||	urūcī somapītaye ||	Far-spreading for the Soma draught.
इन्द्रवायू इमे सुता उप परयोभिरा गतम |	indravāyū ime sutā upa prayobhirā ghatam |	4 These, Indra-Vāyu, have been shed; come for our offered dainties’ sake:
इन्दवो वामुशन्ति हि ||	indavo vāmuśanti hi ||	The drops are yearning for you both.
वायविन्द्रश्च चेतथः सुतानां वाजिनीवसू |	vāyavindraśca cetathaḥ sutānāṃ vājinīvasū |	5 Well do ye mark libations, ye Vāyu and Indra, rich in spoil!
तावा यातमुप दरवत ||	tāvā yātamupa dravat ||	So come ye swiftly hitherward.
