Pransa_no	Patala_no	Khanda_no	Text_no	Hymn
1	1	1	1	Now, therefore, we will declare the acts productive of merit which form part of the customs of daily life, as they have been settled by the agreement (of those who know the law).
1	1	1	2	The authority (for these duties) is the agreement of those who know the law,
1	1	1	3	And (the authorities for the latter are) the Vedas alone.
1	1	1	4	(There are) four castes--Brâhmanas, Kshatriyas, Vaisyas, and Sûdras.
1	1	1	5	Amongst these, each preceding (caste) is superior by birth to the one following.
1	1	1	6	(For all these), excepting Sûdras and those who have committed bad actions, (are ordained) the initiation, the study of the Veda, and the kindling of the sacred fire; and (their) works are productive of rewards (in this world and the next).
1	1	1	7	To serve the other (three) castes (is ordained) for the Sûdra.
1	1	1	8	The higher the caste (which he serves) the greater is the merit.
1	1	1	9	The initiation is the consecration in accordance with the texts of the Veda, of a male who is desirous of (and can make use of) sacred knowledge.
1	1	1	10	A Brâhmana declares that the Gâyatrî is learnt for the sake of all the (three) Vedas.
1	1	1	11	(Coming) out of darkness, he indeed enters darkness, whom a man unlearned in the Vedas, initiates, and (so does he) who, without being learned in the Vedas, (performs the rite of initiation.) That has been declared in a Brâhmana.
1	1	1	12	As performer of this rite of initiation he shall seek to obtain a man in whose family sacred learning is hereditary, who himself possesses it, and who is devout (in following the law).
1	1	1	13	And under him the sacred science must be studied until the end, provided (the teacher) does not fall off from the ordinances of the law.
1	1	1	14	He from whom (the pupil) gathers (âkinoti) (the knowledge of) his religious duties (dharmân) (is called) the Âkârya (teacher).
1	1	1	15	Him he should never offend.
1	1	1	16	For he causes him (the pupil) to be born (a second time) by (imparting to him) sacred learning.
1	1	1	17	This (second) birth is the best.
1	1	1	18	The father and the mother produce the body only.
1	1	1	19	Let him initiate a Brâhmana in spring, a Kshatriya in summer, a Vaisya in autumn, a Brâhmana in the eighth year after conception, a Kshatriya in the eleventh year after conception, (and) a Vaisya in the twelfth after conception.
1	1	1	20	Now (follows the enumeration of the yearsto be chosen) for the fulfilment of some (particular) wish,
1	1	1	21	(Let him initiate) a person desirous of excellence in sacred learning in his seventh year,
1	1	1	22	A person desirous of long life in his eighth year,
1	1	1	23	A person desirous of manly vigour in his ninth year,
1	1	1	24	A person desirous of food in his tenth year,
1	1	1	25	A person desirous of strength in his eleventh year,
1	1	1	26	A person desirous of cattle in his twelfth year.
1	1	1	27	There is no dereliction (of duty, if the initiation takes place), in the case of a Brâhmana before the completion of the sixteenth year, in the case of a Kshatriya before the completion of the twenty-second year, in the case of a Vaisya before the completion of the twenty-fourth year. (Let him be initiated at such an age) that he may be able to perform the duties, which we shall declare below.
1	1	1	28	If the proper time for the initiation has passed, he shall observe for the space of two months the duties of a student, as observed by those who are studying the three Vedas.
1	1	1	29	After that he may be initiated.
1	1	1	30	After that he shall bathe (daily) for one year.
1	1	1	31	After that he may be instructed.
1	1	1	32	He, whose father and grandfather have not been initiated, (and his two ancestors) are called 'slayers of the Brahman.'
1	1	1	33	Intercourse, eating, and intermarriage with them should be avoided.
1	1	1	34	If they wish it (they may perform the following) expiation;
1	1	1	35	In the same manner as for the first neglect (of the initiation, a penance of) two months (was) prescribed, so (they shall do penance for) one year.
1	1	1	36	Afterwards they may be initiated, and then they must bathe (daily),
1	1	2	1	For as many years as there are uninitiated persons, reckoning (one year) for each ancestor (and the person to be initiated himself),
1	1	2	2	(They should bathe daily reciting) the seven [paragraph continues] Pâvamânîs, beginning with 'If near or far,' the Yagushpavitra, ('May the waters, the mothers purify us,' &c.) the Sâmapavitra, ('With what help assists,' &c.), and the Âṅgirasapavitra ('A swan, dwelling in purity'),
1	1	2	3	Or also reciting the Vyâhritis (om, bhûh, bhuvah, suvah).
1	1	2	4	After that (such a person) may be taught (the Veda).
1	1	2	5	But those whose great-grandfather's (grandfather's and father's) initiation is not remembered, are called 'burial-grounds.'
1	1	2	6	Intercourse, dining, and intermarriage with them should be avoided. For them, if they like, the (following) penance (is prescribed). (Such a man) shall keep for twelve years the rules prescribed for a student who is studying the three Vedas. Afterwards he may be initiated. Then he shall bathe, reciting the Pâvamânîs and the other .
1	1	2	7	Then he may be instructed in the duties of a householder.
1	1	2	8	He shall not be taught (the whole Veda), but only the sacred formulas required for the domestic ceremonies.
1	1	2	9	When he has finished this (study of the Grihya-mantras), he may be initiated (after having performed the penance prescribed) for the first neglect .
1	1	2	10	Afterwards (everything is performed) as in the case of a regular initiation. He who has been initiated shall dwell as a religious student in the house of his teacher,
1	1	2	12	For forty-eight years (if he learns all the four Vedas),
1	1	2	13	(Or) a quarter less (i.e. for thirty-six years),
1	1	2	14	(Or) less by half (i.e. for twenty-four years),
1	1	2	15	(Or) three quarters less (i.e. for twelve years),
1	1	2	16	Twelve years (should be) the shortest time (for his residence with his teacher).
1	1	2	17	A student who studies the sacred science shall not dwell with anybody else (than his teacher).
1	1	2	18	Now (follow) the rules for the studentship.
1	1	2	19	He shall obey his teacher, except (when ordered to commit) crimes which cause loss of caste.
1	1	2	20	He shall do what is serviceable to his teacher, he shall not contradict him.
1	1	2	21	He shall always occupy a couch or seat lower (than that of his teacher).
1	1	2	22	He shall not eat food offered (at a sacrifice to the gods or the Manes),
1	1	2	23	Nor pungent condiments, salt, honey, or meat.
1	1	2	24	He shall not sleep in the day-time.
1	1	2	25	He shall not use perfumes.
1	1	2	26	He shall preserve chastity.
1	1	2	27	He shall not embellish himself (by using ointments and the like).
1	1	2	28	He shall not wash his body (with hot water for pleasure).
1	1	2	29	But, if it is soiled by unclean things, he shall clean it (with earth or water), in a place where he is not seen by a Guru.
1	1	2	30	Let him not sport in the water whilst bathing; let him swim (motionless) like a stick.
1	1	2	31	He shall wear all his hair tied in one braid.
1	1	2	32	Or let him make a braid of the lock on the crown of the head, and shave the rest of the hair.
1	1	2	33	The girdle of a Brâhmana shall be made of Muñga grass, and consist of three strings; if possible, (the strings) should be twisted to the right.
1	1	2	34	A bowstring (should be the girdle) of a Kshatriya,
1	1	2	35	Or a string of Muñga grass in which pieces of iron have been tied.
1	1	2	36	A wool thread (shall be the girdle) of a Vaisya,
1	1	2	37	Or a rope used for yoking the oxen to the plough, or a stringy made of Tamala-bark.
1	1	2	38	The staff worn by a Brâhmana should be made of Palâsa wood, that of a Kshatriya of a branch of the Banian tree, which grows downwards, that of a Vaisya of Bâdara or Udumbara wood. Some declare, without any reference to caste, that the staff of a student should be made of the wood of a tree (that is fit to be used at the sacrifice).
1	1	2	39	(He shall wear) a cloth (to cover his nakedness).
1	1	2	40	(It shall be made) of hemp for a Brâhmana, of flax (for a Kshatriya), of the skin of a (clean) animal (for a Vaisya).
1	1	2	41	Some declare that the (upper) garment (of a Brâhmana) should be dyed with red Lodh,
1	1	3	1	And that of a Kshatriya dyed with madder,
1	1	3	2	And that of a Vaisya dyed with turmeric.
1	1	3	3	(The skin),worn by a Brâhmana shall be that of a common deer or of a black doe.
1	1	3	4	If he wears a black skin, let him not spread it (on the ground) to sit or lie upon it.
1	1	3	5	(The skin worn) by a Kshatriya shall be that of a spotted deer.
1	1	3	6	(The skin worn) by a Vaisya shall be that of a he-goat.
1	1	3	7	The skin of a sheep is fit to be worn by all castes,
1	1	3	8	And a blanket made of wool.
1	1	3	9	He who wishes the increase of Brâhmana power shall wear skins only; he who wishes the increase of Kshatriya power shall wear cloth only; he who wishes the increase of both shall wear both (skin and cloth). Thus says a Brâhmana.
1	1	3	10	But (I, Âpastamba, say), let him wear a skin only as his upper garment.
1	1	3	11	Let him not look at dancing.
1	1	3	12	Let him not go to assemblies (for gambling, &c.), nor to crowds (assembled at festivals).
1	1	3	13	Let him not be addicted to gossiping.
1	1	3	14	Let him be discreet.
1	1	3	15	Let him not do anything for his own pleasure in places which his teacher frequents.
1	1	3	16	Let him talk with women so much (only) as his purpose requires.
1	1	3	17	(Let him be) forgiving.
1	1	3	18	Let him restrain his organs from seeking illicit objects.
1	1	3	19	Let him be untired in fulfilling his duties;
1	1	3	20	Modest;
1	1	3	21	Possessed of self-command
1	1	3	22	Energetic;
1	1	3	23	Free from anger;
1	1	3	24	(And) free from envy.
1	1	3	25	Bringing all he obtains to his teacher, he shall go begging with a vessel in the morning and in the evening, (and he may) beg (from everybody) except low-caste people unfit for association (with Âryas) and Abhisastas. A Brâhmana declares: Since a devout student takes away from women, who refuse (to give him alms, the merit gained) by (Srauta)-sacrifices, by gifts, (and) by burnt-offerings (offered in the domestic fire), as well as their offspring, their cattle, the sacred learning (of their families), therefore, indeed, (a woman) should not refuse (alms) to the crowd of students; for amongst those (who come to beg), there might be one of that (devout) kind, one who thus (conscientiously) keeps his vow.
1	1	3	27	Alms (shall) not (be considered) leavings (and be rejected) by inference from their appearance), but on the strength of ocular or oral testimony (only).
1	1	3	28	A Brâhmana shall beg, prefacing (his request) by the word 'Lady';
