Chapter_no	Text_no	Hymn
1	1	THE Veda is the source of the sacred law,
1	2	And the tradition and practice of those who know the (Veda).
1	3	Transgression of the law and violence ate observed (in the case) of (those) great (men); but both are without force (as precedents) on account of the weakness of the men of later ages.
1	4	If (authorities) of equal force are conflicting, (either may be followed at) pleasure.
1	5	The initiation of a Brâhmana (shall ordinarily take place) in his eighth year;
1	6	(It may also be performed) in the ninth or fifth (years) for the fulfilment of (some particular) wish.
1	7	The number of years (is to be calculated) from conception.
1	8	That (initiation) is the second birth.
1	9	The (person) from whom he receives that (Sacrament is called) the Âkârya (teacher).
1	10	And (the same title is also bestowed) in consequence of the teaching of the Veda.
1	11	(The initiation) of a Kshatriya (shall ordinarily take place) in the eleventh (year after conception), and that of a Vaisya in the twelfth.
1	12	Up to the sixteenth year the time for the Sâvitrî of a Brâhmana has not passed,
1	13	Nor (for the initiation) of a Kshatriya up to the twentieth (year).
1	14	(And the limit for that) of a Vaisya (extends) two years beyond (the latter term).
1	15	The girdles (worn by students) shall be strings of Muñga grass, a bow-string, or a (wool) thread, according to the order (of the castes).
1	16	(Their upper garments shall be) skins of black-bucks, spotted deer, (or) he-goats.
1	17	Hempen or linen cloth, the (inner) bark (of trees), and woollen blankets (may be worn as low garments by students) of all (castes),
1	18	And undyed cotton cloth.
1	19	Some (declare that it) even (may be dyed) red.
1	20	(In that case the garment) of a Brâhmana (shall be dyed with a red dye) produced from a tree,
1	21	(And those of students) of the other two (castes shall be) dyed with madder or turmeric.
1	22	The staff (carried by a student) of the Brâhmana (caste shall be) made of Biliva or Palâsa wood.
1	23	Staves made of Asvattha or Pîlu wood (are fit) for (students of) the remaining (two castes).
1	24	Or (a staff cut from a tree) that is fit to be used at a sacrifice (may be carried by students) of all (castes).
1	25	(The staves must be) unblemished, bent (at the top) like a sacrificial post, and covered by their bark.
1	26	They shall reach the crown of the head, the forehead, (or) the tip of the nose (according to the caste of the wearer).
1	27	(It is) optional (for students) to shave (their heads), to wear the hair tied in a braid, (or) to keep (merely) a lock on the crown of the head tied in a braid (shaving the other portions of the head).
1	28	If he becomes impure while holding things in his hands, he shall (purify himself) by sipping water without laying (them on the ground).
1	29	(As regards) the purification of things, (objects) made of metal must be scoured, those made of clay should be thoroughly heated by fire, those made of wood must be planed, and (cloth) made of thread should be washed.
1	30	(Objects made of) stone, jewels, shells, (or) mother-of-pearl (must be treated) like those made of metal.
1	31	(Objects made of) bone and mud (must be treated) like wood.
1	32	And scattering (earth taken from a pure spot is another method of purifying defiled) earth.
1	33	Ropes, chips (of bamboo), and leather (must be treated) like garments.
1	34	Or (objects) that have been defiled very much may be thrown away.
