Pransa_no	Adhyaya_no	Kandika_no	Text_no	Hymn
1	1	1	1	The sacred law is taught in each Veda.
1	1	1	2	We will explain (it) in accordance with that.
1	1	1	3	(The sacred law), taught in the Tradition (Smriti, stands) second.
1	1	1	4	The practice of the Sishtas (stands) third.
1	1	1	5	Sishtas, forsooth, (are those) who are free from envy, free from pride, contented with a store of grain sufficient for ten days, free from covetousness, and free from hypocrisy, arrogance, greed, perplexity, and anger.
1	1	1	6	'(Those are called) Sishtas who, in accordance with the sacred law, have studied the Veda together with its appendages, know how to draw inferences from that, (and) are able to adduce proofs perceptible by the senses from the revealed texts.'
1	1	1	7	On failure of them, an assembly consisting at least of ten members (shall decide disputed points of law).
1	1	1	8	Now they quote also (the following verses): 'Four men, who each know one of the four Vedas, a Mîmâmsaka, one who knows the Aṅgas, one who recites (the works on) the sacred law, and three Brâhmanas belonging to (three different) orders, (constitute) an assembly consisting, at least, of ten members.'
1	1	1	9	'There may be five, or there may be three, or there may be one blameless man, who decides (questions regarding) the sacred law. But a thousand fools (can)not (do it).'
1	1	1	10	'As an elephant made of wood, as an antelope made of leather, such is an unlearned Brâhmana: those three having nothing but the name (of their kind).'
1	1	1	11	'That sin which dunces, perplexed by ignorance and unacquainted with the sacred law, declare (to be duty), falls, increased a hundredfold, on those who propound it.'
1	1	1	12	'Narrow and difficult to find is the path of the sacred law, towards which many gates lead. Hence, if there is a doubt, it must not be propounded by one man (only), however learned he may be.'
1	1	1	13	'What Brâhmanas, riding in the chariot of the law (and) wielding the sword of the Veda, propound even in jest, that is declared to be the highest law.'
1	1	1	14	'As wind and sun will make water, collected on a stone, disappear, even so the sin that (cleaves) to an offender completely vanishes like water.'
1	1	1	15	'He who knows the sacred law shall fix the penances with discernment, taking into consideration the constitution, the strength, the knowledge, and the age (of the offender), as well as the time and the deed.'
1	1	1	16	Many thousands (of Brâhmanas) cannot form a (legal) assembly (for declaring the sacred law), if they have not fulfilled their sacred duties, are unacquainted with the Veda, and subsist only by the name of their caste.'
1	1	2	1	There is a dispute regarding five (practices) both in the south and in the north.
1	1	2	2	We will explain those (peculiar) to the south.
1	1	2	3	They are, to eat in the company of an uninitiated person, to eat in the company of one's wife, to eat stale food, to marry the daughter of a maternal uncle or of a paternal aunt.
1	1	2	4	Now (the customs peculiar) to the north are, to deal in wool, to drink rum, to sell animals that have teeth in the upper and in the lower jaws, to follow the trade of arms, to go to sea.
1	1	2	5	He who follows (these practices) in any other country than where they prevail, commits sin.
1	1	2	6	For each (of these customs) the (rule of the) country should be (considered) the authority.
1	1	2	7	Gautama declares that that is false.
1	1	2	8	And one should not take heed of either (set of practices) because they are opposed to the tradition of the Sishtas.
1	1	2	9	The country of the Âryas (Âryâvarta) lies to the east of the region where (the river Sarasvatî) disappears, to the west of the Black-forest (Kâlakavana), to the north of the Pâripâtra (mountains), to the south of the Himâlaya. The rule of conduct which (prevails) there, is authoritative.
1	1	2	10	Some (declare) the country between the (rivers) Yamunâ and Ganges (to be the Âryâvarta).
1	1	2	11	Now the Bhâllavins quote also the (following) verse:
1	1	2	12	'In the west the boundary-river, in the east the region where the sun rises,--as far as the black antelopes wander (between these two limits), so far spiritual pre-eminence (is found).'
1	1	2	13	The inhabitants of Avantî, of Aṅga, of Magadha, of Surâshtra, of the Dekhan, of Upâvrit, of Sindh, and the Sauvîrâs are of mixed origin.
1	1	2	14	He who has visited the (countries of the) Ârattas, Kâraskaras, Pundras, Sauvîras, Vaṅgas, Kaliṅgas, (or) Prânûnas shall offer a Punastoma or a Sarvaprishthâ (ishti).
1	1	2	15	Now they quote also (the following verses): 'He commits sin through his feet, who travels to the (country of the) Kaliṅgas. The sages declare the Vaisvânarî ishti to be a purification for him.'
1	1	2	16	'Even if many offences have been committed, they recommend for the removal of the sin the Pavitreshti. For that (sacrifice) is a most excellent means of purification.'
1	1	2	17	Now they quote also (the following verse): 'He who performs (by turns) in each season the Vaisvânarî (ishti), the Vrâtapatî (ishti), and the Pavitreshti is freed from (all) sins.'
1	2	3	1	The (term of the) studentship for (learning the) Veda, as kept by the ancients, (is) forty-eight years,
1	2	3	2	(Or) twenty-four (years), or twelve for each Veda,
1	2	3	3	Or at the least one year for each Kânda,
1	2	3	4	Or until (the Veda has been) learned; for life is uncertain.
1	2	3	5	A passage of the revealed texts declares, 'Let him kindle the sacred fires while his hair is (still) black.'
1	2	3	6	They do not put any (religious) restrictions on the acts of a (child) before the investiture with the girdle (is performed). For he is on a level with a Sûdra before (his second) birth through the Veda.
1	2	3	7	The number of years (must be calculated) from the conception. Let him initiate a Brâhmana in the eighth (year) after that,
1	2	3	8	A Kshatriya three (years) later (than a Brâhmana),
1	2	3	9	A Vaisya one year later than a (Kshatriya).
1	2	3	10	Spring, summer, and autumn are the seasons (for the initiation) according to the order of the castes.
1	2	3	11	(Let him perform the initiation reciting), according to the order (of the castes), a Gâyatrî, a Trishtubh, (or) a Gagatî (verse).
1	2	3	12	Up to the sixteenth, the twenty-second, and the twenty-fourth (years) respectively (the time for the initiation) has not passed.
