Chapter_no	Text_no	Hymn
1	1	Now, therefore, the desire to know the sacred law for their welfare (should arise) in (initiated) men.
1	2	He who knows and follows the (sacred law is called) a righteous man.
1	3	He becomes most worthy of praise in this world and after death gains heaven.
1	4	The sacred law has been settled by the revealed texts and by the tradition (of the sages).
1	5	On failure of (rules given in) these (two sources) the practice of the Sishtas (has) authority.
1	6	But he whose heart is free from desire (is called) a Sishta.
1	7	(Acts sanctioned by) the sacred law (are those) for which no (worldly) cause is perceptible.
1	8	The country of the Âryas (Âryâvarta) lies to the east of the region where (the river Sarasvatî) disappears, to the west of the Black-forest, to the north of the Pâripâtra (mountains), to the south of the Himâlaya.
1	9	(According to others it lies to the south of the Himâlaya) and to the north of the Vindhya range (being limited east and west by the two oceans).
1	10	Acts productive of spiritual merit, and customs which (are approved of) in that country, must be everywhere acknowledged (as authoritative);
1	11	But not different ones, (i.e. those) of (countries where) laws opposed (to those of Âryâvarta prevail).
1	12	Some (declare the country of the Âryas to be situated) between the (rivers) Gaṅgâ and Yamunâ.
1	13	Others (state as) an alternative, that spiritual pre-eminence (is found) as far as the black antelope grazes.
1	14	Now the Bhâllavins quote also (the following) verse in the Nidâna:
1	15	'In the west the boundary-river, in the east the region where the sun rises,--as far as the black antelope wanders (between these two limits), so far spiritual pre-eminence (is found).
1	16	'Those religious acts which men, deeply versed in the knowledge of the three Vedas and acquainted with the sacred law, declare to be lawful, (are efficient) for purifying oneself and others.'
1	17	Manu has declared that the (peculiar) laws of countries, castes, and families (may be followed) in the absence of (rules of) the revealed texts.
1	18	Sinful men are, he who sleeps at sunrise or at sunset, he who has deformed nails or black teeth, he whose younger brother was married first, he who married before his elder brother, the husband of a younger sister married before the elder, the husband of an elder sister whose younger sister was married first, he who extinguishes the sacred fires, (and) he who forgets the Veda through neglect of the daily recitation.
1	19	They state that there are five mortal sins. (mahâpâtaka),
1	20	(Viz. violating) a Guru's bed, drinking (the spirituous liquor called) surâ, slaying a learned Brâhmana, stealing the gold of a Brâhmana, and associating with outcasts,
1	21	Either by (entering into) spiritual or matrimonial (connexion with them).
1	22	Now they quote also (the following verse): 'He who during a year associates with an outcast becomes (likewise) an outcast; not by sacrificing for him, by teaching him or by (forming) a matrimonial (alliance with him), but by using the same carriage or seat.'
1	23	A minor offence causing loss of caste (ûpapâtaka, is committed by him) who (after beginning an Agnihotra sacrifice) forsakes the sacred fires, and by him who offends a Guru, by an atheist, by him who takes his livelihood from atheists, and by him who sells the Soma (plant).
1	24	Three wives (are permitted) to a Brâhmana according to the order of the castes, two to a Kshatriya, one to a Vaisya and to a Sûdra.
1	25	Some declare (that twice-born men may marry) even a female of the Sûdra caste, like those (other wives), without (the recitation of) Vedic texts.
1	26	Let him not act thus.
1	27	For in consequence of such (a marriage) the degradation of the family certainly ensues, and after death the loss of heaven.
1	28	There are six marriage-rites,
1	29	(Viz.) that of Brahman (brâhma), that of the gods (daiva), that of the Rishis (ârsha), that of the Gandharvas (gândharva), that of the Kshatriyas (kshâtra), and that of men (mânusha).
1	30	If the father, pouring out a libation of water, gives his (daughter) to a suitor, that (is called) the Brahma-rite
1	31	If (the father) gives his daughter, decking her with ornaments, to an officiating priest, whilst a sacrifice is being performed, that is called the Daiva-rite.
1	32	And (if the father gives his daughter) for a cow and a bull, (that is called) the Ârsha-rite.
1	33	If a lover takes a loving female of equal caste, that (is called) the Gândharva-rite.
1	34	If they forcibly abduct (a damsel), destroying (her relatives) by strength (of arms), that (is called) the Kshâtra-rite.
1	35	If, after making a bargain (with the father, a suitor) marries (a damsel) purchased for money, that (is called) the Mânusha-rite.
1	36	The purchase (of a wife) is mentioned in the following passage of the Veda, 'Therefore one hundred (cows) besides a chariot should be given to the father of the bride.'
1	37	(It is stated) in (the following passage of) the Kâturmâsyas, 'She (forsooth) who has been bought by her husband (commits sin, as) afterwards she unites herself with strangers.'
1	38	Now they quote also (the following verse): 'Lost learning comes back; when the family is lost all is lost. Even a horse becomes estimable on account of its pedigree; therefore men marry wives descended from an (unblemished) family.
1	39	The three (lower) castes shall live according to the teaching of the Brâhmana.
1	40	The Brâhmana shall declare their duties,
1	41	And the king shall govern them accordingly.
1	42	But a king who rules in accordance with the sacred law, may take the sixth part of the wealth (of his subjects),
1	43	Except from Brâhmanas.
