Part	+Book	Chapter	Decade	Text	Hymn
FIRST PART	BOOK I	CHAPTER I	DECADE I Agni	1	Come, Agni, praised with song, to feast and sacrificial offering: sit 
FIRST PART	BOOK I	CHAPTER I	DECADE I Agni	2	O Agni, thou hast been ordained Hotar of every sacrifice, 
FIRST PART	BOOK I	CHAPTER I	DECADE I Agni	3	Agni we choose as envoy, skilled performer of this holy rite, 
FIRST PART	BOOK I	CHAPTER I	DECADE I Agni	4	Served with oblation, kindled, bright, through love of song may Agni, bent 
FIRST PART	BOOK I	CHAPTER I	DECADE I Agni	5	I laud your most beloved guest like a dear friend, O Agni, him 
FIRST PART	BOOK I	CHAPTER I	DECADE I Agni	6	Do thou, O Agni, with great might guard us from all malignity, 
FIRST PART	BOOK I	CHAPTER I	DECADE I Agni	7	O Agni, come; far other songs of praise will I sing forth to thee. 
FIRST PART	BOOK I	CHAPTER I	DECADE I Agni	8	May Vatsa draw thy mind away even from thy loftiest dwelling place! 
FIRST PART	BOOK I	CHAPTER I	DECADE I Agni	9	Agni, Atharvan brought thee forth by rubbing from the sky, the head 
FIRST PART	BOOK I	CHAPTER I	DECADE I Agni	10	O Agni, bring us radiant light to be our mighty succour, for 
FIRST PART	BOOK I	CHAPTER I	DECADE II Agni	1	O Agni, God, the people sing reverent praise to thee for strength: 
FIRST PART	BOOK I	CHAPTER I	DECADE II Agni	2	I seek with song your messenger, oblation-bearer, lord of wealth, 
FIRST PART	BOOK I	CHAPTER I	DECADE II Agni	3	Still turning to their aim in thee the sacrificer's sister hymns 
FIRST PART	BOOK I	CHAPTER I	DECADE II Agni	4	To thee, illuminer of night, O Agni, day by day with prayer, 
FIRST PART	BOOK I	CHAPTER I	DECADE II Agni	5	Help, thou who knowest lauds, this work, a lovely hymn in Rudra's praise, 
FIRST PART	BOOK I	CHAPTER I	DECADE II Agni	6	To this fair sacrifice to drink the milky draught art thou called forth: 
FIRST PART	BOOK I	CHAPTER I	DECADE II Agni	7	With homage will I reverence thee, Agni, like a long-tailed steed, 
FIRST PART	BOOK I	CHAPTER I	DECADE II Agni	8	As Aurva and as Bhrigu called, as Apnavana called, I call 
FIRST PART	BOOK I	CHAPTER I	DECADE II Agni	9	When he enkindles Agni, man should with his heart attend the song: 
FIRST PART	BOOK I	CHAPTER I	DECADE II Agni	10	Then, verily, they see the light refulgent of primeval seed, 
FIRST PART	BOOK I	CHAPTER I	DECADE III Agni	1	Hither, for powerful kinship, I call Agni, him who prospers you, 
FIRST PART	BOOK I	CHAPTER I	DECADE III Agni	2	May Agni with his pointed blaze cast down each fierce devouring fiend: 
FIRST PART	BOOK I	CHAPTER I	DECADE III Agni	3	Agni, be gracious; thou art great: thou hast approached the pious man, 
FIRST PART	BOOK I	CHAPTER I	DECADE III Agni	4	Agni, preserve us,from distress consume our enemies, O God, 
