Chapter_no	Text_no	Hymn
1	1	THE night of Brahman being over, and the God sprung from the lotus (Brahman) having woke from his slumber, Vishnu purposing to create living beings, and perceiving the earth covered with water,
1	2	Assumed the shape of a boar, delighting to sport in water, as at the beginning of each former Kalpa, and raised up the earth (from the water).
1	3	His feet were the Vedas; his tusks the sacrificial stakes; in his teeth were the offerings; his mouth was the pyre; his tongue was the fire; his hair was the sacrificial grass; the sacred texts were his head; and he was (endowed with the miraculous power of) a great ascetic.
1	4	His eyes were day and night; he was of superhuman nature; his ears were the two bundles of Kusa grass (for the Ishtis, or smaller sacrifices, and for the animal offerings); his ear-rings were the ends of those bundles of Kusa grass (used for wipingthe ladle and other sacrificial implements); his nose (the vessel containing) the clarified butter; his snout was the ladle of oblations; his voice was similar in sound to the chanting of the Sâma-veda; and he was of huge size.
1	5	He was full of piety and veracity; beautiful; his strides and his strength were immense (like those of Vishnu); his large nostrils were penances; his knees the victim; and his figure colossal.
1	6	His entrails were the (three) chanters of the Sama-veda; his member was the burnt-oblation; his scrotum was the sacrificial seeds and grains; his mind was the altar (in the hut for the wives and domestic uses of the sacrificer); the hindparts (of Vishnu) in his transformation were the Mantras; his blood was the Soma juice.
1	7	His shoulders were the (great) altar; his smell was that of the (sacrificial cake and other) oblations; his speed was the oblations to the gods and to the manes and other oblations; his body was the hut for the wives and domestic uses of the sacrificer; he was majestic; and instructed with the initiatory ceremonies for manifold sacrifices (lasting one, or two, three, or twelve years, and others).
1	8	His heart was the sacrificial fee; he was possessed of the (sacrificial and other) great Mantras employed in order to effect the union of the mind with the Supreme; he was of enormous size (like the long sacrifices lasting more than one day); his lovely, lips were the beginnings of the twohymns recited at the beginning of the animal sacrifice; his ornaments were the whirlpool of the milk poured into the heated vessel (at the Pravargya ceremony introductory to the Soma-sacrifice).
1	9	All sorts of sacred texts (the Gâyatrî and others) were his path in marching; the mysterious Upanishads (the Vedânta) were his couch; he was accompanied by his consort Khâyâ (Lakshmî); he was in size like the Manisringa mountain.
1	10	The lord, the creator, the great Yogin, plunging into the one ocean from love of the world,
1	11	Raised up, with the edge of his tusks, the earth bounded by the sea together with its mountains, forests, and groves, which was immersed in the water of (the seven oceans now become) one ocean, and created the universe anew.
1	12	Thus the whole earth, after having sunk into (the lower region called) Rasâtala, was in the first place raised in the boar-incarnation by Vishnu, who took compassion upon the living beings.
1	13	,
1	14	Then, after having raised the earth, the destroyer of Madhu placed and fixed it upon its own (former) seat (upon the oceans) and distributed the waters upon it according to their own (former) station, conducting the floods of the oceans into the oceans, the water of the rivers into the rivers, the water of the tanks into the tanks, and the water of the lakes into the lakes.
1	15	He created the seven (lower regions called) Pâtâlas and the seven worlds, the seven Dvîpas.
1	16	(He created) the rulers of the (seven) Dvîpas and the (eight) guardians of the world (Indra and the rest), the rivers, mountains, and trees, the seven Rishis, who know (and practise) the law, the Vedas together with their Angas, the Suras, and the Asuras.
1	17	(He created) Pisâkas (ogres), Uragas (serpents), Gandharvas (celestial singers), Yakshas (keepers of Kubera's treasures), Rakshasas (goblins), and men, cattle, birds, deer and other animals, (in short) all the four kinds of living beings, and clouds, rainbows, lightnings, and other celestial phenomena or bodies (such as the planets and the asterisms), and all kinds of sacrifices.
1	18	Bhagavat, after having thus created, in theshape of a boar, this world together with all animate and inanimate things in it, went away into a place hidden from the world.
1	19	Ganârdana, the chief of the gods, having become invisible, the goddess of the earth began to consider, 'How shall I be able to sustain myself (henceforth)?'
1	20	'I will go to Kasyapa to ask: he will tell me the truth. The great Muni has my welfare under constant consideration.'
1	21	Having thus decided upon her course, the goddess, assuming the shape of a woman, went to see Kasyapa, and Kasyapa saw her.
