Chapter_No	Text_no	Hymn
1	1	In former ages men were strictly virtuous and devoid of mischievous propensities. Now that avarice and malice have taken possession of them, judicial proceedings have been established.
1	2	A judicial assembly is declared to be of four sorts: stationary, not stationary, furnished with (the king's) signet-ring, and directed (by the king). The judges are of as many sorts.
1	3	A stationary (court meets) in a town or village; one not stationary is called movable; one furnished with (the king's) signet-ring is superintended by the chief judge; one directed (by the king) is held in the king's presence.
1	4	The king, his chosen representative (the chief judge), the judges, the law (Smriti), the accountant and scribe, gold, fire, water, and the king's own officer are ten members of legal procedure.
1	5	A court of justice is composed of these ten members; and a judicial assembly of this sort, in which the king examines causes attentively, is comparable to an act of religion.
1	6	The office of these ten (members) is separately declared for each. The chief judge decides causes; the king inflicts punishments; the judges investigate the merits of the case.
1	7	The law furnishes the decree, whether victory or defeat; gold and fire serve the purpose of administering ordeals; water is required for persons suffering from thirst or hunger.
1	8	The accountant should compute the sum (in dispute); the scribe should record the proceedings; the king's own officer should compel the attendance of the defendant, assessors, and witnesses.
1	9	And he should constantly keep both the plaintiff and defendant in custody, if they have given no sureties. Of these members (of a court of justice) the king is the head; the chief judge is the mouth;
1	10	The judges are both arms; the law is both hands; the accountant and the scribe are the legs; gold, fire, and water are the eyes and the heart; and the king's own officer is the feet.
1	11	That judicial assembly is equal (in sanctity) to a sacrificial meeting in which there sit seven or five or three Brahmans, who are acquainted with the world, with (the contents of) the Veda, and with law.
1	12	In a controversy he examines the (plaint in) question and the answer; he speaks gently at first (prâg vadati). Therefore he is called Prâdvivâka (judge).
1	13	Men qualified by the performance of devotional acts, strictly veracious and virtuous, void of wrath and covetousness, and familiar with (legal) lore, should be appointed by the ruler as judges (or assessors of the court).
1	14	Two persons thoroughly familiar with grammar and vocabulary, skilled in (the art of) computation, honest, and acquainted with various modes of writing, should be appointed by the king as accountant and scribe (respectively).
1	15	A veracious man, who pays obedience to the judges, should be appointed (by the king) as his own officer, to summon and to keep in custody the witnesses, plaintiff, and defendant.
1	16	The king should sit facing the east; the judges, facing the north; the accountant, facing the west; and the scribe, facing the south.
1	17	The king should cause gold, fire, water, and codes of the sacred law to be placed in the midst of them, also (other) holy and auspicious things.
1	18	In the middle of his fortress, he should build a house, with water and trees adjacent to it, apart (from other buildings), and let him use as court of justice (a room situated) on the eastern side of it, properly constituted and facing the east,
1	19	Furnished with garlands and with a throne,supplied with grain, (decorated) with jewels, adorned with statues, pictures, and images of deities, and (provided) with fire and water.
1	20	Let the king try causes, attended by three judges, after having entered the excellent judicial assembly, in a sitting or standing posture.
1	21	The king having risen early in the morning and performed ablutions according to rule, and having shown due honour to Gurus (persons entitled to respect), astronomers, physicians, deities, Brahmans, and domestic priests,
1	22	And having saluted the Gurus and the rest, should enter the court-room, decorated with flowers, ornaments, and (fine) clothes, with a cheerful countenance.
1	23	Having entered the judicial assembly in the forenoon, together with the seniors, ministers, and attendants, he should try causes and should listen to (the expositions of) the Purânas, codes of law, and rules of polity.
1	24	Let the king or a member of a twice-born caste officiating as chief judge try causes, acting on principles of equity, and abiding by the opinion of the judges, and by the doctrine of the sacred law.
1	25	For persons roaming the forest, a court should be held in the forest; for warriors, in the camp; and for merchants, in the caravan.
1	26	Cultivators, artizans (such as carpenters or others), artists, money-lenders, companies (of tradesmen), dancers, persons wearing the token of a religious order (such as Pâsupatas), and robbers should adjust their disputes according to the rules of their own profession.
1	27	(The king) should cause the disputes of ascetics and of persons versed in sorcery and witchcraft to be settled by persons familiar with the three Vedas only, and not (decide them) himself, for fear of rousing their resentment.
1	28	Relatives, companies (of artizans), assemblies (of co-habitants) and other persons duly authorized by the king, should decide lawsuits among men, excepting causes concerning violent crimes (sâhasa).
1	29	(Meetings of) kindred, companies (of artizans), assemblies (of co-habitants), and chief judges, are declared to be resorts for the passing of a sentence, to whom he whose cause has been previously tried may appeal in succession.
1	30	When a cause has not been (duly) investigated by (meetings of) kindred, it should be decided after due deliberation by companies (of artizans); when it has not been (duly) examined by companies (of artizans, it should be decided) by assemblies (of co-habitants); and when it has not been (sufficiently) made out by such assemblies, (it should be tried) by appointed (judges).
1	31	Judges are superior in authority to (meetings of) kindred and the rest; the chief judge is placed above them; and the king is superior to all, because he passes just sentences.
1	32	The insight of princes surpasses by far the understandings (of other persons), in the decision of the highest, lowest, and middling controversies.
1	33	They who are ignorant of the customs of the country, unbelievers, despisers of the sacred books, insane, irate, avaricious, or troubled (by pain or illness) should not be consulted in the decision of a cause.
1	34	A Brahman is the root of the tree of justice; the sovereign prince is its stem and branches; the ministers are its leaves and blossoms; just government is its fruit.
1	35	Renown and wealth are the sap of its fruit; a dignified station, invincibility, esteem among men, and an eternal residence in paradise is enjoying its fruit.
