Chapter_No	Text_no	Hymn
1	1-2	He is called a (Prâdvivâka or) chief judge who—fully acquainted with the eighteen titles (of law) and with the eight thousand subdivisions thereof, skilled in logic and other branches of science, and thoroughly versed in revealed and traditional lore—investigates the law relative to the case in hand by putting questions (prât) and passing a decision (vivekayati) according to what was heard or understood by him.
1	3	Let not a king actuated by arrogance or avarice promote litigation among persons not engaged in a controversy.
1	4	The king shall examine judicial quarrels between two litigant parties in a proper way, acting on principles of equity and discarding both love and hatred.
1	5	(In disputes) among merchants, artizans, or the like persons, and in (disputes concerning) persons subsisting by agriculture or as dyers, it is impossible for outsiders to pass a sentence; and the passing ofthe sentence must, therefore, be entrusted to persons acquainted with such matters (in a cause of this sort).
1	6	A lawsuit cannot be instituted mutually between a teacher and his pupil, or between father and son, or man and wife, or master and servant.
1	7	A plaint is declared (inadmissible) likewise by the learned in law, when it has been raised by one against many, or by women, or by menials.
1	8	He shall be admitted as plaintiff whose grievance is the greater, or whose affair is the more important of the two, and not he who was the first to go to law.
1	9	Half of the (ordinary) punishment is declared for him who either confesses his deed, after having committed an illicit act of violence, or says of his own accord, 'It is true.'
1	10	When (an assessor of the court) has recognised the royal mind to swerve from the path of duty, he must not pronounce an opinion which is agreeable to the king. (It is only by declaring what is just that) he becomes free from sin.
1	11	Transgression of (the king's) commands, killing a female, mixture of castes, illicit intercourse with another man's wife, robbery, pregnancy caused by another man than the husband,
1	12	Abuse, insulting language, assault, and procuring abortion, are the ten (principal) crimes.
1	13	He who arrests (his adversary) by illegal means, such as by stopping his speech (through gagging the mouth), or by preventing him from breathing, and the like practices, is liable to punishment; but one who breaks (such arrest) is not (punishable).
1	14	When a lawsuit has been judged without any previous examination of witnesses (or other evidence), or when it has been decided in an improper manner, or when it has been judged by unauthorized persons, the trial has to be renewed.
1	15	Whatever property, whether movable or immovable, has been kept (under the care of the judge, after having become the subject of a dispute), must be handed over afterwards to the victorious party together with the interest (accruing on it) and with a document (attesting his victory).
2	1	The defects of a plaint have been declared as follows.. (It is defective, if it) relates to the property of a stranger; if it is without an object; if it does not state any quantity; if the mode of acquisition is not referred to in it; if too little or too much is written in it; and if it is unmeaning.
2	2	That plaint is declared by the wise to 'relate to the property of a stranger' in which joint property is referred to in a claim raised by one man alone who has no right to it, or without authorization from the other joint proprietors.
2	3	A plaint is said to be 'without an object' when a man, actuated by hatred or anger, taxes another with the murder of a Brahman (or some other deadly sin) and revokes his own charge afterwards on being required to prove it.
2	4	That plaint 'does not state any quantity' in which no figure is given with regard to a certain quantity, writing, measure, field, house, or other (object).
2	5	That plaint 'contains no reference to the mode of acquisition' which does not say whether (the property in dispute) has been acquired by learning, or gained as profit (or interest), or purchased, or obtained by inheritance.
2	6	'Too little' is said to be written in that plaint in which the year, month, fortnight, lunar day, and  the week is not referred to.
2	7	'Too much' may be said to be written in that plaint in which (the plaintiff) after having caused the plaint to be written goes on to mention the witnesses at once, without waiting for the answer (of the defendant) to be delivered.
2	8	That plaint is declared to be 'unmeaning'which is rendered unclear by the mode of writing (exhibited in it), though the claimant's previous statements be (duly) entered in it.
2	9	Let him avoid, as a mere semblance of a declaration, (a plaint the tenour of) which is unnatural, not connected with an injury, senseless, purposeless, incapable of being proved, or at variance (with possibility, or with justice).
2	10	That suit which is prohibited by the king, or opposed to the interests of the citizens, or of the whole kingdom, or of the constituent elements of the state,
2	11	As well as (those suits) which are opposed to the interests of a town or village, or of eminent persons: all such suits are declared to be inadmissible.
2	12	A plaint in which several different subjects are mixed up together can have no effect.
2	13	That plaint is declared to be inadmissible in which the order (of the words) is inverted, or the arrangement confused, or scattered what belongs together, or which is meaningless, or relative to bygone times, or unapproved.
2	14	The order (of the words) is said to be inverted in that plaint the meaning of which is rendered unclear by the omission (of certain words) in their proper place, and which is not accepted (in consequence).
2	15	When the original claim is forsaken and replaced by a different proposition, the plaint is declared to be meaningless, and the previous claim is not carried.
2	16	When a claim is raised in regard to certain property long after the expiration of the proper time, the plaint is said to relate to bygone times, though evidence be forthcoming.
2	17	That suit in which the claim relates to one thing, and the judicial investigation to another, is declared to be unapproved, because the trial is inconsistent.
2	18	When the plaintiff in his written claim confoundsthe charge with the evidence, such a claim also cannot take effect, because the proper order of propositions is violated in it.
2	19	That plaint should be utterly rejected in which two claims are entered at once, one reasonable, and the other unreasonable.
2	20	Should a man make mutually conflicting statements in a plaint, his claim cannot succeed because of its being vitiated by inconsistent assertions.
2	21	When a man though capable (of proving his claim) omits to prove it for twenty or ten years, after the plaint has been lodged by him, his declaration becomes futile (in consequence).
2	22	(The plaintiff) may amend the plaint while the answer has not been delivered. When the plaint has been answered, the corrections must cease.
3	1	When a plaint of this description has been tendered by the plaintiff, the defendant shall deliver an answer corresponding to such plaint.
3	2	That is called a (true) answer by those acquainted with the subject, which meets the plaint, and is concise, clear, consistent, and easily intelligible without an explanation.
3	3	If a man's courage fails him when he is about to make a statement in a lawsuit, a delay must begranted to him (by the judge), whether he be plaintiff or defendant.
3	4	When the defendant contradicts the charge, such an answer is termed a denial in a cause.
3	5	When, the plaint having been reduced to writing by the plaintiff, the defendant admits it but adduces some special circumstance, it is called a (retort in the form) pratyavaskandana (special plea).
3	6	That (answer) is no (true) answer which is dubious, not to the point, too narrow, too extensive, or meeting one part only of the plaint.
3	7	An answer which treats of a different subject, or which is incomplete, or couched in obscure language, or confused, not intelligible without an explanation, or unreasonable, will never enable (the defendant) to gain his cause.
3	8	In the case of a denial, the burden of proof rests with the plaintiff; in the case of a special plea, (it rests) with the defendant.
