Title_of_Law_no	Text_no	Hymn
1	1	Which debts must be paid, which other debts must not be paid; by whom, and in what form (they must be paid); and the rules of gift and receipt, (all that) is comprised under the title of 'Recovery of a Debt.'
1	2	The father being dead, it is incumbent on the sons to pay his debt, each according to his share (of the inheritance), in case they are divided in interests. Or, if they are not divided in interests, the debt mustbe discharged by that son who becomes manager of the family estate.
1	3	That debt which has been contracted by an undivided paternal uncle, brother, or mother, for the benefit of the household, must be discharged wholly by the heirs.
1	4	If a debt has been legitimately inherited by the sons, and left unpaid by them, such debt of the grandfather must be discharged by his grandsons. The liability for it does not include the fourth in descent.
1	5	Fathers wish to have sons on their own account, thinking in their minds, 'He will release me from all obligations towards superior and inferior beings.'
1	6	Three deceased (ancestors) must be worshipped, three must be reverenced before the rest. Thesethree ancestors of a man may claim the discharge of their twofold debt from the fourth in descent.
1	7	If a man fails to pay on demand what had been borrowed or promised by him, that sum (together with the interest) goes on growing till it amounts to a hundred krores (= one milliard).
1	8	A hundred krores having been completed, he is born again, in every successive existence, in his (creditor's) house as his slave, in order to repay the debt (by his labour).
1	9	If an ascetic or an Agnihotrî dies withouthaving discharged his debt, the whole merit collected by his austerities and by his Agnihotra belongs to his creditors.
1	10	A father must not pay the debt of his son, but a son must pay a debt contracted by his father, excepting those debts which have been contracted from love, anger, for spirituous liquor, games, or bailments.
1	11	Such debts of a son as have been contracted by him by his father's order, or for the maintenance of the family, or in a precarious situation, must be paid by the father.
1	12	What has been spent for the household by a pupil, apprentice, slave, woman, menial, or agent, must be paid by the head of the household.
1	13	When the debtor is dead, and the expense has been incurred for the benefit of the family, the debt must be repaid by his relations, even though they be separated from him in interests.
1	14	The father, uncle, or eldest brother having gone abroad, the son, (or nephew, or younger brother) is not bound to pay his debt before the lapse of twenty years.
1	15	Every single coparcener is liable for debts contracted by another coparcener, if they were contracted while the coparceners were alive and unseparated. But after their death the son of one is not bound to pay the debt of another.
1	16	The wife must not pay a debt contracted by her husband, nor one contracted by her son, except if it had been promised by her, or contracted in common with her husband.
1	17	A sonless widow, and one who has been enjoined by her dying husband (to pay his debt), must pay it. Or (it must be paid) by him who inherits theestate. (For) the liability for the debts goes together with the right of succession.
1	18	A debt contracted by the wife shall never bind the husband, unless it had been contracted at a time when the husband was in distress. Household expenses are indispensably necessary.
1	19	The wives of washermen, huntsmen, cowherds, and distillers of spirituous liquor are exempt from this rule. The income of these men depends on their wives, and the household expenses have also to be defrayed by the wives.
1	20	If a woman who has a son forsakes her son and goes to. live with another man, that man shall take her (separate) property. If she has no property of her own, her son (shall take the property of her husband).
1	21	If, however, a woman repairs to anotherman, carrying her riches and offspring with her, that man must pay the debt contracted by her husband, or he must abandon her.
1	22	He who has intercourse with the wife of a dead man who has neither wealth nor a son, shall have to pay the debt of her husband, because she is considered as his property.
1	23	Among these three, the heir of the wealth, the protector of the widow, and the son, he is liable for the debts who takes the wealth. The son is liable, on failure of a (protector of the) widow and of an heir; the protector of the widow, on failure of an heir and of a son.
1	24	Debts contracted by the husbands of the last Svairinî and of the first Punarbhû, must be paid by him who lives with them.
1	25	A wife, a daughter-in-law, a woman entitled to maintenance, and the attendants of the wife: by these have debts to be paid, as also by one who lives on the produce of land (inherited from the debtor).
1	26	The sages declare that the transactions of a woman have no validity, especially the gift, hypothecation, or sale of a house or field.
1	27	Such transactions are valid when they are sanctioned by the husband; or, on failure of the husband, by the son; or, on failure of husband and son, by the king.
1	28	What has been given to a wife by her lovinghusband, that she may spend or give away as she likes after his death even, excepting immovables.
1	29	In the same way the transactions of a slave are declared invalid, unless they have been sanctioned by his master. A slave is not his own master.
1	30	If a son has transacted any business without authorization from his father, it is also declared an invalid transaction. A slave and a son are equal in that respect.
1	31	A youth who, though independent, has not yet arrived at years of discretion, is not capable of contracting valid debts. (Real) independence belongs to the eldest son (only); (the right of) seniority is based on both capacity and age.
1	32	Three persons are independent in this world: a king, a spiritual teacher, and in all castes successively a householder in his own household.
1	33	All subjects are dependent; the ruler of the country is independent; a student is pronounced to be dependent; independence belongs to the teacher.
1	34	Wives, sons, slaves and other attendants are dependent. The head of the family, to whom the property has descended by right of inheritance, is independent with regard to it.
1	35	A child is comparable to an embryo up to his eighth year. A youth, who has not yet reached the age of sixteen, is called Poganda.
1	36	Afterwards he is no longer a minor and independent, in case his parents are dead. While they are alive he can never acquire independence, even though he may have reached a mature age.
1	37	Of the two (parents), the father has the greater authority, because the seed is superior (to the womb); on failure of the begetter, the mother; on failure of the mother, the eldest son.
1	38	All these persons are independent at all times of those who depend on others. They haveauthority in regard to coercion the relinquishment and the sale (of property).
1	39	If a boy or one who possesses no independence transacts anything, it is declared an invalid transaction by persons acquainted with the law.
1	40	That also which an independent person does, who has lost the control over his actions, is declared an invalid transaction, on account of his want of (real) independence.
1	41	Those are declared to have lost the control over their actions who are actuated by love or anger, or tormented (by an illness), or oppressed by fear or misfortune, or biassed by friendship or hatred.
1	42	That is declared a valid transaction which is done by the senior or head of a family and by one who has not lost the control over his actions. That is not valid which has been transacted by one who does not enjoy independence.
1	43	All transactions depend on wealth. In order to acquire it, exertion is necessary. To preserve it,to increase it, and to enjoy it: these are, successively, the three sorts of activity in regard to wealth.
1	44	Again, wealth is of three kinds: white, spotted, and black. Each of these (three) kinds has seven subdivisions.
1	45	White wealth is (of the following seven sorts): what is acquired by sacred knowledge, valour in arms, the practice of austerities, with a maiden, through (instructing) a pupil, by sacrificing, and by inheritance. The gain to be derived from exerting oneself to acquire it is of the same description.
1	46	Spotted wealth is (of the following seven sorts): what is acquired by lending money at interest, tillage, commerce, in the shape of Sulka, by artistic performances, by servile attendance, or as a return for a benefit conferred on some one.
1	47	Black wealth is (of the following sevensorts): what is acquired as a bribe, by gambling, by bearing a message, through one afflicted with pain, by forgery, by robbery, or by fraud.
1	48	It is in wealth that purchase, sale, gift, receipt, transactions of every kind, and enjoyment, have their source.
1	49	Of whatever description the property may be, with which a man performs any transaction, of the same description will the fruit be which he derives from it in the next world and in this..
1	50	Wealth is again declared to be of twelve sorts, according to the caste of the acquirer. Those modes of acquisition, which are common to all castes, are threefold. The others are said to be ninefold.
1	51	Property obtained by inheritance, gifts made from love, and what has been obtained with a wife (as her dowry), these are the three sorts of pure wealth, for all (castes) without distinction.
1	52	The pure wealth peculiar to a Brahman isdeclared to be threefold: what has been obtained as alms, by sacrificing, and through (instructing) a pupil.
1	53	The pure wealth peculiar to a Kshatriya is of three sorts likewise: what has been obtained in the shape of taxes, by fighting, and by means of the fines declared in lawsuits.
1	54	The pure wealth peculiar to a Vaisya is also declared to be threefold: (what has been acquired) by tillage, by tending cows, and by commerce. For a Sûdra it consists of what is given to him by the members of the three higher castes.
1	55	These are the legitimate modes of acquisition of wealth for all the (four) castes severally. If one caste should take to the occupations of another caste, it is a criminal proceeding, except in extreme cases of distress.
1	56	In times of distress, a Brahman is allowed to gain his substance in the mode prescribed for the caste next to him in rank; or he may gain his substance like a Vaisya. But he must never resort tothe mode of livelihood prescribed for a member of the lowest caste.
1	57	At no time must a Brahman follow the occupations of a man of vile caste, or a vile man the occupations of a Brahman. In either case, expulsion from caste would be the immediate consequence.
1	58	For neither of them are such occupations permitted as are either far above or far below their own rank. Those two occupations are lawful for them which lie between these two extremes; for they are common to all (castes).
1	59	When a Brahman has lived through the times of distress, with the wealth acquired by following the occupations of a Kshatriya, he must perform a penance and relinquish the occupations of a Kshatriya.
1	60	When, however, a Brahman takes delight in those occupations and persists in them, he is declared a Kândaprishtha (professional soldier) and must be expelled from society, because he has swerved from the path of duty.
1	61	When a Brahman is living by the occupations of a Vaisya, he must never sell milk, sour milk, clarified butter, honey, beeswax, lac, pungent condiments, liquids used for flavouring, spirituous liquor,
1	62	Meat, boiled rice, sesamum, linen, the juice of the Soma plant, flowers, fruit, precious stones, men, poison, weapons, water, salt, cakes, plants,
