Adhyaya_no	Brahmana_no	Text_no	Hymn
1	1	1	He (the Adhvaryu) cooks the priests’ mess of rice : it is seed he thereby produces. Having greased a rope with the ghee which is left over , he takes it; for ghee is (a type of) fiery spirit, and the horse is sacred to Pragâpati : he thus endows Pragâpati with fiery spirit. Impure, and unfit for sacrifice, indeed, is that (animal), to wit, the horse.
1	1	2	The rope consists of darbha grass (poa cynosuroides);--for darbha stalks  are a means of purification: he thus purifies that (horse), and immolates it as one purified and meet for sacrifice.
1	1	3	Now, when the horse  was immolated, itsseed went from it and became gold : thus, when he gives gold (to the priests) he supplies the horse with seed.
1	1	4	Pragâpati produced the sacrifice . His greatness departed from him, and entered the great sacrificial priests . Together with the great priests he went in search of it, and together with the great priests he found it: when the great priests eat the priests’ mess of rice, the Sacrificer thereby secures for himself the greatness of the sacrifice. Along with the priests’ mess of rice he presents gold (to the priests); for the mess of rice is seed, and gold is seed: by means of seed he thus lays seed into that (horse, and Sacrificer). It (the gold ) weighs a hundred (grains); for man has a life of a hundred (years), and a hundred energies: it is life, and energy, vigour, he lays into his own self. At midday he takes Vasatîvarî  water of four kinds; it is brought together from the (four) quarters, for food is in (all) the (four) quarters, and water is food: by means of food he thus secures food for him.
1	2	1	Now, unsuccessful in the sacrifice, assuredly, is what is performed without a formula.  'This rope did they take, at the first age of the truth, ,' he takes the halter of the horse in order to supply a formula for the success of the sacrifice. It (the rope) is twelve cubits long,--twelve months make a year: it is the year, the sacrifice , he secures.
1	2	2	Concerning this they say, 'Is the rope to be made twelve cubits long, or thirteen cubits long?' Well, that year is the bull among the seasons, and the thirteenth (or intercalary) month is an excrescence of the year; and this Asvamedha is the bull among sacrifices; and inasmuch as the bull has an excrescence (hump), one may add on a thirteenth cubit to the rope as an excrescence to this (Asvamedha): even as the bull's hump is attached  (to his back), suchlike would this be.
1	2	3	'Encompassing  thou art,'--therefore the offerer of the Asvamedha conquers all the quarters ;--'the world thou art,'--the world he thus conquers;--'a ruler thou art, an upholder,'--he thus makes him a ruler and upholder;--'go thou unto Agni Vaisvânara,'--he thus makes him go to Agni Vaisvânara (the friend of all men);--'of wide extent,'--he thus causes him to extend in offspring and cattle;--'consecrated by Svâhâ (hail!),'--this is the Vashat-call  for it;--'good speed (to) thee for the gods!'--he thus makes it of good speed for the gods;--'for Pragâpati,'--the horse is sacred to Pragâpati: he thus supplies  it with his own deity.
1	2	4	But, verily, he who fetters the horse without announcing it to the Brahman and the gods is liable to incur injury. He addresses the Brahman (the superintending priest) by saying, 'O Brahman, I will fetter the horse for the gods, for Pragâpati: may I prosper therewith!' and having made the announcementto the Brahman, he ties up the horse, and thus incurs no injury. 'Fetter it for the gods, for Pragâpati: prosper thou therewith!' thus the Brahman urges him, and supplies it (the horse) with its own deity. He then sprinkles it (with water): the (symbolic) meaning of this is the same as before .
1	2	5	He sprinkles  it, with , 'I sprinkle thee (so as to be) acceptable to Pragâpati,'--for Pragâpati is the most vigorous of the gods: it is vigour he bestows on it, whence the horse is the most vigorous of animals.
1	2	6	'I sprinkle thee, acceptable to Indra and Agni,'--for Indra and Agni are the most powerful of the gods: it is power he bestows on it, whence the horse is the most powerful of animals.
1	2	7	'I sprinkle thee, acceptable to Vâyu,'--for Vâyu is the swiftest of gods: it is speed he bestows on it, whence the horse is the swiftest of animals.
1	2	8	'I sprinkle thee, acceptable to the All-gods,'--for the All-gods are the most famous of gods: it is fame he bestows on it, whence the horse is the most famous of animals,---'I sprinkle thee, acceptable to all the gods.'
1	2	9	Concerning this they say, 'Seeing that the horse is sacred to Pragâpati, wherefore (does he say), "I sprinkle thee" for other deities also?' Well, all the gods are concerned in the horse-sacrifice;when he says, 'I sprinkle thee for all the gods,' he makes all the gods take a concern in the horse-sacrifice; whence all the gods are concerned in the horse-sacrifice. But his wicked enemy seeks to lay hold of him who performs the horse-sacrifice, and the horse is a thunderbolt;--having killed the four-eyed dog, he--with 'Undone  is the man! undone is the dog!'--plunges  it under the horse's feet: it is by means of the thunderbolthe thus stamps him down; and the wicked enemy does not lay hold of him.
1	3	1	Even as some of the havis (offering-material) may be spilled before it is offered, so also (part) of the victim is here spilled in that they let loose the sprinkled (horse) before it is slain. When he offers the Stokîyâs (oblations of drops), he offers that (horse) as a complete offering --so as to make good any spilling ; for unspilled is any (part) of the offered (material) that is spilled. A thousand (oblations of drops) he offers for the obtainment of the heavenly world, for the heavenly world is equal in extent to a thousand.
1	3	2	Concerning this they say, 'Were he to offer measured (a specified number of oblations), he would gain for himself something limited:' he offers unspecified (oblations) for the obtainment of the unlimited. And indeed Pragâpati spake, 'Verily, upon the oblations of drops I establish the Asvamedha, and by it, when established, I pass upward from hence.'
1	3	3	'To Agni, hail!'--to Agni he thus offers it (the horse );--'to Soma, hail!'--to Soma he thus offers it;--'to the joy of the waters, hail!'--to the waters he thus offers it;--'to Savitri, hail!'--to Savitrihe thus offers it;--'to Vâyu, hail!'--to Vâyu (the wind) he thus offers it;--'to Vishnu, hail!'--to Vishnu he thus offers it to;--'Indra, hail!'--to Indra he thus offers it;--'to Brihaspati, hail!'--to Brihaspati he thus offers it;--'to Mitra, hail!'--to Mitra he thus offers it;--'to Varuna, hail!'--to Varuna he thus offers it:--so many, doubtless, are all the gods: it is to them he offers it. He offers them straight away  for the obtainment of the heavenly world, for straight away, as it were, is the heavenly world.
1	3	4	But, verily, he who offers the oblations straight away, would be liable to fall (pass) right away : he turns back again , and establishes himself in this (terrestrial) world. And this  indeed he (Pragâpati) has declared to be the perfection of the sacrifice, so as to prevent falling away (spilling), for unspilled is what is spilled of the offered (material).
1	3	5	And even as some of the offering-material may be spilled before it is offered, so also (part) of thevictim is here spilled in that they let loose the sprinkled (horse) before it is slaughtered. When he offers (the oblations relating to) the Forms  (rûpa), he offers that (horse) as one that is wholly offered, so as to make good any spilling; for unspilled is what is spilled of the offered (material). With ,'To the Hiṅ-call, hail! to the (horse) consecrated by Hiṅ, hail! . . .' (he offers them); for these are the forms (qualities) of the horse: it is them he now obtains.
1	3	6	Concerning this they say, 'The Forms are no offering: they should not be offered.' But, indeed, they also say, 'Therein assuredly the horse-sacrifice becomes complete that he performs (the oblations relating to) the Forms: they should certainly be offered.' And, indeed, one puts that (Sacrificer) out of his resting-place, and raises a rival for him when one offers for him oblations elsewhere than in the fire , where there is no resting-place.
1	3	7	Prior to the (first) oblation to Savitri , he (the Adhvaryu) offers, once only, (the oblations relating to) the Forms  in the Âhavanîya, whilst going rapidly over (the formulas): he thus offers the oblations at his (the Sacrificer's) resting-place, and raises no rival for him. He offers at each opening of sacrifice , for the continuity and uninterrupted performance of the sacrifice.
1	3	8	Concerning this they say, 'Were he to offerat each opening of sacrifice, he would be deprived of his cattle, and would become poorer.' They should be performed once only: thus he is not deprived of his cattle, and does not become poorer. Forty-eight (oblations) he offers;--the Gagatî consists of forty-eight syllables, and cattle are of Gâgata (movable) nature: by means of the Gagatî he (the Adhvaryu) thus wins cattle for him (the Sacrificer). One additional (oblation) he offers, whence one man is apt to thrive amongst (many) creatures (or subjects).
1	4	1	Pragâpati poured forth the life-sap of the horse (asva-medha) . When poured forth, it went straight away from him and spread itself over the regions. The gods went in quest of it. By means of offerings (ishti) they followed it up, by offerings they searched for it, and by offerings they found it. And when he performs ishtis, the Sacrificer thereby searches for the horse (asva) meet for sacrifice  (medhya).
1	4	2	They (the ishtis ) belong to Savitri; for Savitri is this (earth): if any one hides himself thereon, if any one goes elsewhere , it is on this (earth) that they find him; for no one (creature), whether walking erect or horizontally (like an animal), is able to go beyond it. Their belonging to Savitri thus is in order to find the horse.
1	4	3	Concerning this they say, 'Surely the horse disappears when it goes straight away; for they do not turn (drive) it back .' Now when he performs the Dhriti offerings  in the evening--dhriti (keeping) meaning peaceful dwelling, and the night also meaning peaceful dwelling--it is by means of peaceful dwelling that he keeps it; whence both men and beasts rest peacefully at night. And when he performs offerings in the morning, he seeks that (horse); whence it is in daytime that one goes to seek for what is lost. And again when he offers the Dhritis in the evening, and the (Savitri) ishtis in the morning, it is security of possession the Sacrificer thereby brings about, whence security of possession is brought about for the subjects where this sacrifice is performed.
1	5	1	But, indeed, distinction, royal sway, departs from him who performs the horse-sacrifice; and when a man attains to distinction, the lute is played to him. Two Brâhmanical lute-players sing (and play) for a year; for that--to wit, the lute--is a form (attribute) of distinction: it is distinction they thus confer upon him.
1	5	2	Concerning this they say, ‘Were both to be Brâhmanas who sing, noble rank (or political power) would depart from him; for he--to wit, a Brâhmana--is a form of the priestly office; and the nobility takes no delight in the priestly office (or priesthood).
1	5	3	‘And were both to be Râganyas (nobles), spiritual lustre would depart from him; for he--to wit, the Râganya--is a form of noble rank, and spiritual lustre takes no delight in noble rank.' One of those who sing is a Brâhmana, and the other a Râganya; for the Brâhmana means priestly office, and the Râganya noble rank: thus his distinction (social position) comes to be guarded on either side by the priesthood and the nobility.
1	5	4	Concerning this they say, ‘Were both to sing by day, his distinction would be apt to fall away from him: for that--to wit, the day--is a form of the priestly dignity; and when the king chooses he may oppress (despoil) the Brâhmana, but he will fare the worse (or, become the poorer) for it.
