Aranyaka	Adhyaya	Khanda	Text_no	Hymn
1	1	1	1	Now follows the Mahâvrata ceremony.
1	1	1	2	After having killed Vritra, Indra became great. When he became great, then there was the Mahâvrata (the great work). This is why the Mahâvrata ceremony is called Mahâvrata.
1	1	1	3	Some people say: 'Let the priest make two (recitations with the offering of the) âgya (ghee) on that day,' but the right thing is one .
1	1	1	4	He who desires prosperity should use the hymn, pra vo devâyâgnaye .
1	1	1	5	He who desires increase should use the hymn, viso viso atithim .
1	1	1	6	The people (visah) indeed are increase , and therefore he (the sacrificer) becomes increased.
1	1	1	7	But (some say), there is the word atithim (in that hymn, which means a guest or stranger, asking for food). Let him not therefore take that hymn. Verily, the atithi (stranger) is able  to go begging.
1	1	1	8	'No,' he said, 'let him take that hymn.
1	1	1	9	'For he who follows the good road and obtains distinction, he is an atithi (guest) .
1	1	1	10	'They do not consider him who is not so, worthy to be (called) an atithi (guest).
1	1	1	11	'Therefore let him by all means take that hymn.'
1	1	1	12	If he takes that hymn, let him place the (second) tristich, âganma vritrahantamam, 'we came near to the victorious,' first.
1	1	1	13	For people worship the whole year (performing the Gavâmayana sacrifice) wishing for this day (the last but one)--they do come near.
1	1	1	14	The (next following) three tristichs begin with an Anushtubh . Now Brahman is Gâyatrî, speech is Anushtubh. He thus joins speech with Brahman.
1	1	1	15	He who desires glory should use the hymn, abodhy agnih samidhâ ganânâm .
1	1	1	16	He who desires offspring and cattle should use the hymn, hotâganishta ketanah .
1	1	2	1	He who desires proper food  should use the hymn, agnim naro dîdhitibhih  .
1	1	2	2	Verily, Agni (fire) is the eater of food.In the other (recitations accompanying the) offerings of âgya (where Agni is likewise mentioned) the worshippers come more slowly near to Agni (because the name of Agni does not stand at the beginning of the hymn). But here a worshipper obtains proper food at once, he strikes down evil at once.
1	1	2	3	Through the words (occurring in the second foot of the first verse), hastakyuti ganayanta, 'they caused the birth of Agni by moving their arms,' the hymn becomes endowed with (the word) birth. Verily, the sacrificer is born from this day of the sacrifice, and therefore the hymn is endowed with (the word) birth.
1	1	2	4	There are four metrical feet (in the Trishtubh verses of this hymn). Verily, cattle have four feet, therefore they serve for the gaining of cattle.
1	1	2	5	There are three metrical feet (in the Virâg, verses of this hymn). Verily, three are these three-foldworlds. Therefore they serve for the conquest of the worlds.
1	1	2	6	These (the Trishtubh and Virâg verses of the hymn) form two metres, which form a support (pratishthâ). Verily, man is supported by two (feet), cattle by four feet. Therefore this hymn places the sacrificer who stands on two feet among cattle which stand on four.
1	1	2	7	By saying them straight on there are twenty-five verses in this hymn. Man also consists of twenty-five. There are ten fingers on his hands, ten toes on his feet, two legs, two arms, and the trunk (âtman) the twenty-fifth. He adorns that trunk, the twenty-fifth, by this hymn.
1	1	2	8	And then this day (of the sacrifice) consists of twenty-five, and the Stoma hymn of that day consists of twenty-five  (verses); it becomes the same through the same. Therefore these two, the day and the hymn, are twenty-five .
1	1	2	9	These twenty-five verses, by repeating the first thrice and the last thrice, become thirty less one. This is a Virâg, verse (consisting of thirty syllables), too small by one. Into the small (heart) the vital spirits are placed, into the small stomach food is placed , therefore this Virâg, small by one, serves for the obtainment of those desires.
1	1	2	10	He who knows this, obtains those desires.
1	1	2	11	The verses (contained in the hymn agnim naro dîdhitibhih) become the Brihatî  metre andthe Virâg metre, (they become) the perfection which belongs to that day (the mahâvrata). Then they also become Anushtubh , for the offerings of âgya (ghee) dwell in Anushtubhs .
1	1	3	1	Some say: 'Let him take a Gâyatrî hymn for the Pra-uga. Verily, Gâyatrî is brightness and glory of countenance, and thus the sacrificer becomes bright and glorious.'
1	1	3	2	Others say: 'Let him take a Ushnih hymn for the Pra-uga. Verily, Ushnih is life, and thus the sacrificer has a long life.'Others say: 'Let him take an Anushtubh hymnfor the Pra-uga. Verily, Anushtubh is valour, and it serves for obtaining valour.'Others say: 'Let him take a Brihatî hymn for the Pra-uga. Verily, Brihatî is fortune, and thus the sacrificer becomes fortunate.'Others say: 'Let him take a Paṅkti hymn for the Pra-uga. Verily, Paṅkti is food, and thus the sacrificer becomes rich in food.'Others say: 'Let him take a Trishtubh hymn for the Pra-uga. Verily, Trishtubh is strength, and thus the sacrificer becomes strong.'Others say: 'Let him take a Gagatî hymn for the Pra-uga. Verily, cattle is Gagatî-like, and thus the sacrificer becomes rich in cattle.'But we say: 'Let him take a Gâyatrî hymn only. Verily, Gâyatrî is Brahman, and that day (the mahâvrata) is (for the attainment of) Brahman. Thus he obtains Brahman by means of Brahman.
1	1	3	4	'And it must be a Gâyatrî hymn by Madhukkhandas,
1	1	3	5	'For Madhukkhandas is called Madhukkhandas, because he wishes (khandati) for honey (madhu) for the Rishis.
1	1	3	6	'Now food verily is honey, all is honey, all desires are honey, and thus if he recites the hymn of Madhukkhandas, it serves for the attainment of all desires.
1	1	3	7	'He who knows this, obtains all desires.'This (Gâyatrî pra-uga), according to the one-day (ekâha) ceremonial , is perfect in form . On that day (the mahâvrata) much is done now and then whichhas to be hidden , and has to be atoned for y recitation of hymns). Atonement (sânti) is rest, the one-day sacrifice. Therefore at the end of the year (on the last day but one of the sacrifice that lasts a whole year) the sacrificers rest on this atonement as their rest.
1	1	3	8	He who knows this rests firm, and they also for whom a Hotri priest who knows this, recites this hymn.
1	1	4	1	Rv. I,
1	1	4	2	,
1	1	4	1-3	Vâyav â yâhi darsateme somâ aram kritâh, 'Approach, O Vâyu, conspicuous, these Somas have been made ready.' Because the word ready occurs in these verses, therefore is this day (of the sacrifice) ready (and auspicious) for the sacrificer and for the gods.
1	1	4	2	Yes, this day is ready (and auspicious) to him who knows this, or for whom a Hotri priest who knows this, recites.
1	1	4	3	Rv. I,
1	1	4	2	,
