Question	Text_no	Hymn
1	1	Adoration to the Highest Self! Harih, Om!
1	2	Sukesas  Bhâradvâga , and Saivya Satyakâma, and Sauryâyanin  Gârgya, and Kausalya  Âsvalâyana, and Bhârgava Vaidarbhi , and Kabandhin Kâtyâyana, these were devoted to Brahman, firm in Brahman, seeking for the Highest Brahman. They thought that the venerable Pippalâda could tell them all that, and they therefore took fuel in their hands (like pupils), and approached him.
1	3	That Rishi said to them: 'Stay here a year longer, with penance, abstinence, and faith; then you may ask questions according to your pleasure, and if we know them, we shall tell you all.'
1	4	Then  Kabandhin Kâtyâyana approached him and asked: 'Sir, from whence may these creatures be born?'
1	5	He replied: 'Pragâpati (the lord of creatures) was desirous of creatures (pragâh). He performed penance' , and having performed penance, he produces a pair, matter (rayi) and spirit (prâna), thinking that they together should produce creatures for him in many ways.5 . The sun is spirit, matter is the moon. All this, what has body and what has no body, is matter, and therefore body indeed is matter.
1	6	Now Âditya, the sun, when he rises, goes toward the East, and thus receives the Eastern spirits into his rays. And when he illuminates the South, the West, the North, the Zenith, the Nadir, the intermediate quarters, and everything, he thus receives all spirits into his rays.
1	7	Thus he rises, as Vaisvânara, (belonging to all men,) assuming all forms, as spirit, as fire. This has been said in the following verse:8 . (They knew) him who assumes all forms, the golden , who knows all things, who ascends highest, alone in his splendour, and warms us; the thousand-rayed, who abides in a hundred places, the spirit of all creatures, the Sun, rises.
1	8	The year indeed is Pragâpati, and there are two paths thereof, the Southern and the Northern. Now those who here believe in sacrifices and pious gifts as work done, gain the moon only as their[paragraph continues] (future) world, and return again. Therefore the Rishis who desire offspring, go to the South, and that path of the Fathers is matter (rayi).
1	9	But those who have sought the Self by penance, abstinence, faith, and knowledge, gain by the Northern path Âditya, the sun. This is the home of the spirits, the immortal, free from danger, the highest. From thence they do not return, for it is the end. Thus says the Sloka :
1	10	Some call him the father with five feet (the five seasons), and with twelve shapes (the twelve months), the giver of rain in the highest half of heaven; others again say that the sage is placed in the lower half, in the chariot  with seven wheels and six spokes.
1	11	The month is Pragâpati; its dark half is matter, its bright half spirit. Therefore some Rishis perform sacrifice in the bright half, others in the other half.
1	12	Day and Night  are Pragâpati; its day is spirit, its night matter. Those who unite in love by day waste their spirit, but to unite in love by night is right.
1	13	Food is Pragâpati. Hence proceeds seed, and from it these creatures are born.
1	14	Those therefore who observe this rule of Pragâpati (as laid down in § 13), produce a pair, and to them belongs this Brahma-world here . Butthose in whom dwell penance, abstinence, and truth,
1	15	To them belongs that pure Brahma-world, to them, namely, in whom there is nothing crooked, nothing false, and no guile.'
2	1	Then Bhârgava Vaidarbhi asked him: 'Sir, How many gods  keep what has thus been created, how many manifest this , and who is the best of them?'
2	2	He replied: 'The ether is that god, the wind, fire, water, earth, speech, mind, eye, and ear. These, when they have manifested (their power), contend and say: We (each of us) support this body and keep it .3 . Then Prâna (breath, spirit, life), as the best, said to them: Be not deceived, I alone, dividing myself fivefold, support this body and keep it.
2	3	They were incredulous; so he, from pride, did as if he were going out from above. Thereupon,as he went out, all the others went out, and as he returned, all the others returned. As bees go out when their queen  goes out, and return when she returns, thus (did) speech, mind, eye, and ear; and, being satisfied, they praise Prâna, saying:
2	4	He is Agni (fire), he shines as Sûrya (sun), he is Parganya (rain), the powerful (Indra), he is Vâyu, (wind), he is the earth, he is matter, he is God--he is what is and what is not, and what is immortal.
2	5	As spokes in the nave of a wheel, everything is fixed in Prâna, the verses of the Rig-veda, Yagur-veda, Sâma-veda, the sacrifice, the Kshatriyas, and the Brâhmans.
2	6	As Pragâpati (lord of creatures) thou movest about in the womb, thou indeed art born again. To thee, the Prâna, these creatures bring offerings, to thee who dwellest with the other prânas (the organs of sense).
2	7	Thou art the best carrier for the Gods, thou art the first offering  to the Fathers. Thou art the true work of the Rishis , of the Atharvâṅgiras.
2	8	O Prâna, thou art Indra by thy light, thou art Rudra, as a protector; thou movest in the sky, thou art the sun, the lord of lights.
2	9	When thou showerest down rain, then, O Prâna, these creatures of thine are delighted , hoping that there will be food, as much as they desire.
2	10	Thou art a Vrâtya , O Prâna, the only Rishi , the consumer of everything, the good lord. We are the givers of what thou hast to consume, thou, O Mâtarisva , art our father.
2	11	Make propitious that body of thine which dwells in speech, in the ear, in the eye, and which pervades the mind; do not go away!
2	12	All this is in the power of Prâna, whatever exists in the three heavens. Protect us like a mother her sons, and give us happiness and wisdom.'
3	1	Then Kausalya Âsvalâyana asked: 'Sir, whence is that Prâna (spirit) born? How does it come into this body? And how does it abide, after it has divided itself? How does it go out? How does it support what is without , and how what is within?'
3	2	He replied: 'You ask questions more difficult, but you are very fond of Brahman, therefore I shall tell it you.
3	3	This Prâna (spirit) is born of the Self. Like the shadow thrown on a man, this (the prâna) isspread out over it (the Brahman) . By the work of the mind  does it come into this body.
3	4	As a king commands officials, saying to them: Rule these villages or those, so does that Prâna (spirit) dispose the other prânas, each for their separate work.
3	5	The Apâna (the down-breathing) in the organs of excretion and generation; the Prâna himself dwells in eye and ear, passing through mouth and nose. In the middle is the Samâna  (the on-breathing); it carries what has been sacrificed as food equally (over the body), and the seven lights proceed from it.
3	6	The Self  is in the heart. There are the 101 arteries, and in each of them there are a hundred (smaller veins), and for each of these branches there are 72,000 . In these the Vyâna (the back-breathing) moves.
3	7	Through one of them, the Udâna (the out-breathing) leads (us) upwards to the good world by good work, to the bad world by bad work, to the world of men by both.
3	8	The sun rises as the external Prâna, for it assists the Prâna in the eye . The deity that exists in the earth, is there in support of man's Apâna (down-breathing). The ether between (sun and earth) is the Samâna (on-breathing), the air is Vyâna (back-breathing).
3	9	Light is the Udâna (out-breathing), and therefore he whose light has gone out comes to a new birth with his senses absorbed in the mind.
3	10	Whatever his thought (at the time of death) with that he goes back to Prâna, and the Prâna, united with light , together with the self (the gîvâtmâ) leads on to the world, as deserved.
3	11	He who, thus knowing, knows Prâna, his offspring does not perish, and he becomes immortal. Thus says the Sloka:
3	12	He who has known the origin , the entry, the place, the fivefold distribution, and the internal state  of the Prâna, obtains immortality, yes, obtains immortality.'
4	1	Then Sauryâyanin Gârgya asked: 'Sir, What are they that sleep in this man, and what are they that are awake in him? What power (deva) is it that sees dreams? Whose is the happiness? On what do all these depend?'
4	2	He replied: 'O Gârgya, As all the rays of the sun, when it sets, are gathered up in that disc of light, and as they, when the sun rises again and again, come forth, so is all this (all the senses) gathered up in the highest faculty (deva) , the mind. Therefore at that time that man does not hear, see, smell, taste, touch, he does not speak, he does not take, does not enjoy, does not evacuate, does not move about. He sleeps, that is what people say.
4	3	The fires of the prânas are, as it were , awake in that town (the body). The Apâna is the Gârhapatya fire, the Vyâna the Anvâhâryapakana fire; and because it is taken out of the Gârhapatya fire, which is fire for taking out , therefore the Prâna is the Âhavanîya fire .Now the Apâna is identified with the Gârhapatya fire, no reason being given except afterwards, when it is said that the Prâna is the Âhavanîya fire, being taken out of the Gârhapatya, here called  pranayana, in the same manner as the prâna proceeds in sleep from the apâna. The Vyâna is identified with the Dakshinâgni, the Southern fire, because it issues from the heart through an aperture on the right.
4	4	Because it carries equally these two oblations, the out-breathing and the in-breathing, the Samâna is he (the Hotri priest) . The mind is the sacrificer, the Udâna is the reward of the sacrifice, and it leads the sacrificer every day (in deep sleep) to Brahman.
4	5	There that god  (the mind) enjoys in sleep greatness. What has been seen, he  sees again; what has been heard, he hears again; what has been enjoyed in different countries and quarters, he enjoys again; what has been seen and not seen, heard and not heard, enjoyed and not enjoyed, he sees it all; he, being all, sees.
4	6	And when he is overpowered by light , then that god sees no dreams, and at that time that happiness arises in his body.
4	7	And, O friend, as birds go to a tree to roost, thus all this rests in the Highest Âtman,--
4	8	The earth and its subtile elements, the water and its subtile elements, the light and its subtile elements, the air and its subtile elements, the ether and its subtile elements; the eye and what can beseen, the ear and what can be heard, the nose and what can be smelled, the taste and what can be tasted, the skin and what can be touched, the voice and what can be spoken, the hands and what can be grasped, the feet and what can be walked, the mind and what can be perceived, intellect (buddhi) and what can be conceived, personality and what can be personified, thought and what can be thought, light and what can be lighted up, the Prâna and what is to be supported by it.
4	9	For he it is who sees, hears, smells, tastes, perceives, conceives, acts, he whose essence is knowledge , the person, and he dwells in the highest, indestructible Self,--
4	10	He who knows that indestructible being, obtains (what is) the highest and indestructible, he without a shadow, without a body, without colour, bright--,yes, O friend, he who knows it, becomes all-knowing, becomes all. On this there is this Sloka:
4	11	He, O friend, who knows that indestructible being wherein the true knower, the vital spirits (prânas), together with all the powers (deva), and the elements rest, he, being all-knowing, has penetrated all.'
5	1	Then Saivya Satyakâma asked him:--'Sir, if some one among men should meditate here until death on the syllable Om, what would he obtain by it?'
5	2	He replied: 'O Satyakâma, the syllable Om (AUM) is the highest and also the other Brahman;therefore he who knows it arrives by the same means  at one of the two.
5	3	If he meditate on one Mâtrâ (the A) , then, being enlightened by that only, he arrives quickly at the earth . The Rik-verses lead him to the world of men, and being endowed there with penance, abstinence, and faith, he enjoys greatness.
5	4	If he meditate with  two Mâtrâs (A + U) he arrives at the Manas , and is led up by the Yagus-verses to the sky, to the Soma-world. Having enjoyed greatness in the Soma-world, he returns again.
5	5	Again, he who meditates with this syllable AUM of three Mâtrâs, on the Highest Person, he comes to light and to the sun. And as a snake is freed from its skin, so is he freed from evil. He is led up by the Sâman-verses to the Brahma-world ; and from him, full of life (Hiranyagarbha, the lord of the Satya-loka ), he learns  to see the all-pervading, the Highest Person. And there are these two Slokas:
5	6	The three Mâtrâs (A + U + M), if employed separate, and only joined one to another, are mortal ;but in acts, external, internal, or intermediate, if well performed, the sage trembles not .
5	7	Through the Rik-verses he arrives at this world, through the Yagus-verses at the sky, through the Sâman-verses at that which the poets teach,--he arrives at this by means of the Oṅkâra; the wise arrives at that which is at rest, free from decay, from death, from fear,--the Highest.'
6	1	Then Sukesas Bhâradvâga asked him, saying: 'Sir, Hiranyanâbha, the prince of Kosalâ , came to me and asked this question: Do you know the person of sixteen parts, O Bhâradvâga? I said to the prince: I do not know him; if I knew him, how should I not tell you? Surely, he who speaks what is untrue withers away to the very root; therefore I will not say what is untrue. Then he mounted his chariot and went away silently. Now I ask you, where is that person?'
6	2	He replied: 'Friend, that person is here within the body, he in whom these sixteen parts arise.
6	3	He reflected: What is it by whose departure I shall depart, and by whose staying I shall stay?
6	4	He sent forth (created) Prâna (spirit) ; from[paragraph continues] Prâna Sraddhâ (faith) , ether, air, light, water, earth, sense, mind, food; from food came vigour, penance, hymns, sacrifice, the worlds, and in the worlds the name  also.
6	5	As these flowing rivers  that go towards the ocean, when they have reached the ocean, sink into it, their name and form are broken, and people speak of the ocean only, exactly thus these sixteen parts of the spectator that go towards the person (purusha), when they have reached the person, sink into him, their name and form are broken, and people speak of the person only, and he becomes without parts and immortal. On this there is this verse:
6	6	That person who is to be known, he in whom these parts rest, like spokes in the nave of a wheel, you know him, lest death should hurt you.'
